latitude,longitude,altitude,geometry,lat,lon,scoring_category,score,GEOID
33.3265,-84.441059,,Point,33.3265,-84.441059,Quality Education Score,0,13113140502
33.3265,-84.431059,,Point,33.3265,-84.431059,Quality Education Score,0,13113140502
33.3265,-84.421059,,Point,33.3265,-84.421059,Quality Education Score,0,13113140502
33.3265,-84.411059,,Point,33.3265,-84.411059,Quality Education Score,0,13113140501
33.3265,-84.401059,,Point,33.3265,-84.401059,Quality Education Score,0,13113140501
33.3265,-84.391059,,Point,33.3265,-84.391059,Quality Education Score,0,13113140501
33.3365,-84.541059,,Point,33.3365,-84.541059,Quality Education Score,0,13113140308
33.3365,-84.531059,,Point,33.3365,-84.531059,Quality Education Score,0,13113140307
33.3365,-84.521059,,Point,33.3365,-84.521059,Quality Education Score,0,13113140307
33.3365,-84.511059,,Point,33.3365,-84.511059,Quality Education Score,0,13113140307
33.3365,-84.501059,,Point,33.3365,-84.501059,Quality Education Score,0,13113140501
33.3365,-84.491059,,Point,33.3365,-84.491059,Quality Education Score,0,13113140501
33.3365,-84.481059,,Point,33.3365,-84.481059,Quality Education Score,0,13113140501
33.3365,-84.471059,,Point,33.3365,-84.471059,Quality Education Score,0,13113140501
33.3365,-84.461059,,Point,33.3365,-84.461059,Quality Education Score,0,13113140501
33.3365,-84.441059,,Point,33.3365,-84.441059,Quality Education Score,0,13113140501
33.3365,-84.451059,,Point,33.3365,-84.451059,Quality Education Score,0,13113140501
33.3365,-84.431059,,Point,33.3365,-84.431059,Quality Education Score,0,13113140501
33.3365,-84.421059,,Point,33.3365,-84.421059,Quality Education Score,0,13113140501
33.3365,-84.411059,,Point,33.3365,-84.411059,Quality Education Score,0,13113140501
33.3365,-84.401059,,Point,33.3365,-84.401059,Quality Education Score,0,13113140501
33.3365,-84.391059,,Point,33.3365,-84.391059,Quality Education Score,0,13113140501
33.3465,-84.561059,,Point,33.3465,-84.561059,Quality Education Score,0,13113140308
33.3465,-84.551059,,Point,33.3465,-84.551059,Quality Education Score,0,13113140308
33.3465,-84.541059,,Point,33.3465,-84.541059,Quality Education Score,0,13113140308
33.3465,-84.531059,,Point,33.3465,-84.531059,Quality Education Score,0,13113140308
33.3465,-84.501059,,Point,33.3465,-84.501059,Quality Education Score,0,13113140501
33.3465,-84.521059,,Point,33.3465,-84.521059,Quality Education Score,0,13113140307
33.3465,-84.511059,,Point,33.3465,-84.511059,Quality Education Score,0,13113140307
33.3465,-84.481059,,Point,33.3465,-84.481059,Quality Education Score,0,13113140501
33.3465,-84.491059,,Point,33.3465,-84.491059,Quality Education Score,0,13113140501
33.3465,-84.471059,,Point,33.3465,-84.471059,Quality Education Score,0,13113140501
33.3465,-84.461059,,Point,33.3465,-84.461059,Quality Education Score,0,13113140501
33.3465,-84.451059,,Point,33.3465,-84.451059,Quality Education Score,0,13113140501
33.3465,-84.441059,,Point,33.3465,-84.441059,Quality Education Score,0,13113140501
33.3465,-84.431059,,Point,33.3465,-84.431059,Quality Education Score,0,13113140501
33.3465,-84.421059,,Point,33.3465,-84.421059,Quality Education Score,0,13113140501
33.3465,-84.411059,,Point,33.3465,-84.411059,Quality Education Score,0,13113140501
33.3465,-84.401059,,Point,33.3465,-84.401059,Quality Education Score,0,13113140501
33.3465,-84.391059,,Point,33.3465,-84.391059,Quality Education Score,0,13113140501
33.3565,-84.571059,,Point,33.3565,-84.571059,Quality Education Score,0,13113140303
33.3565,-84.561059,,Point,33.3565,-84.561059,Quality Education Score,0,13113140308
33.3565,-84.551059,,Point,33.3565,-84.551059,Quality Education Score,0,13113140308
33.3565,-84.541059,,Point,33.3565,-84.541059,Quality Education Score,0,13113140309
33.3565,-84.531059,,Point,33.3565,-84.531059,Quality Education Score,0,13113140307
33.3565,-84.521059,,Point,33.3565,-84.521059,Quality Education Score,0,13113140307
33.3565,-84.501059,,Point,33.3565,-84.501059,Quality Education Score,0,13113140501
33.3565,-84.511059,,Point,33.3565,-84.511059,Quality Education Score,0,13113140307
33.3565,-84.491059,,Point,33.3565,-84.491059,Quality Education Score,0,13113140501
33.3565,-84.481059,,Point,33.3565,-84.481059,Quality Education Score,0,13113140501
33.3565,-84.471059,,Point,33.3565,-84.471059,Quality Education Score,0,13113140501
33.3565,-84.461059,,Point,33.3565,-84.461059,Quality Education Score,0,13113140501
33.3565,-84.451059,,Point,33.3565,-84.451059,Quality Education Score,0,13113140501
33.3565,-84.441059,,Point,33.3565,-84.441059,Quality Education Score,0,13113140501
33.3565,-84.431059,,Point,33.3565,-84.431059,Quality Education Score,0,13113140501
33.3565,-84.421059,,Point,33.3565,-84.421059,Quality Education Score,0,13113140501
33.3565,-84.411059,,Point,33.3565,-84.411059,Quality Education Score,0,13113140501
33.3565,-84.401059,,Point,33.3565,-84.401059,Quality Education Score,0,13113140501
33.3565,-84.391059,,Point,33.3565,-84.391059,Quality Education Score,0,13113140501
33.3565,-84.381059,,Point,33.3565,-84.381059,Quality Education Score,0,13063040636
33.3565,-84.361059,,Point,33.3565,-84.361059,Quality Education Score,0,13063040636
33.3565,-84.371059,,Point,33.3565,-84.371059,Quality Education Score,0,13063040636
33.3665,-84.581059,,Point,33.3665,-84.581059,Quality Education Score,0,13113140303
33.3665,-84.561059,,Point,33.3665,-84.561059,Quality Education Score,0,13113140308
33.3665,-84.571059,,Point,33.3665,-84.571059,Quality Education Score,0,13113140303
33.3665,-84.551059,,Point,33.3665,-84.551059,Quality Education Score,0,13113140309
33.3665,-84.541059,,Point,33.3665,-84.541059,Quality Education Score,0,13113140309
33.3665,-84.531059,,Point,33.3665,-84.531059,Quality Education Score,0,13113140307
33.3665,-84.501059,,Point,33.3665,-84.501059,Quality Education Score,0,13113140501
33.3665,-84.511059,,Point,33.3665,-84.511059,Quality Education Score,0,13113140307
33.3665,-84.521059,,Point,33.3665,-84.521059,Quality Education Score,0,13113140307
33.3665,-84.491059,,Point,33.3665,-84.491059,Quality Education Score,0,13113140501
33.3665,-84.481059,,Point,33.3665,-84.481059,Quality Education Score,0,13113140501
33.3665,-84.471059,,Point,33.3665,-84.471059,Quality Education Score,0,13113140501
33.3665,-84.461059,,Point,33.3665,-84.461059,Quality Education Score,0,13113140501
33.3665,-84.451059,,Point,33.3665,-84.451059,Quality Education Score,0,13113140501
33.3665,-84.441059,,Point,33.3665,-84.441059,Quality Education Score,0,13113140501
33.3665,-84.421059,,Point,33.3665,-84.421059,Quality Education Score,0,13113140501
33.3665,-84.431059,,Point,33.3665,-84.431059,Quality Education Score,0,13113140501
33.3665,-84.411059,,Point,33.3665,-84.411059,Quality Education Score,0,13113140501
33.3665,-84.401059,,Point,33.3665,-84.401059,Quality Education Score,0,13113140501
33.3665,-84.391059,,Point,33.3665,-84.391059,Quality Education Score,0,13063040636
33.3665,-84.381059,,Point,33.3665,-84.381059,Quality Education Score,0,13063040636
33.3665,-84.371059,,Point,33.3665,-84.371059,Quality Education Score,0,13063040636
33.3665,-84.361059,,Point,33.3665,-84.361059,Quality Education Score,0,13063040636
33.3765,-84.591059,,Point,33.3765,-84.591059,Quality Education Score,0,13113140303
33.3765,-84.581059,,Point,33.3765,-84.581059,Quality Education Score,0,13113140303
33.3765,-84.571059,,Point,33.3765,-84.571059,Quality Education Score,0,13113140303
33.3765,-84.561059,,Point,33.3765,-84.561059,Quality Education Score,0,13113140309
33.3765,-84.551059,,Point,33.3765,-84.551059,Quality Education Score,0,13113140309
33.3765,-84.541059,,Point,33.3765,-84.541059,Quality Education Score,0,13113140309
33.3765,-84.531059,,Point,33.3765,-84.531059,Quality Education Score,0,13113140307
33.3765,-84.511059,,Point,33.3765,-84.511059,Quality Education Score,0,13113140307
33.3765,-84.521059,,Point,33.3765,-84.521059,Quality Education Score,0,13113140307
33.3765,-84.501059,,Point,33.3765,-84.501059,Quality Education Score,0,13113140501
33.3765,-84.491059,,Point,33.3765,-84.491059,Quality Education Score,0,13113140501
33.3765,-84.481059,,Point,33.3765,-84.481059,Quality Education Score,0,13113140501
33.3765,-84.471059,,Point,33.3765,-84.471059,Quality Education Score,0,13113140501
33.3765,-84.461059,,Point,33.3765,-84.461059,Quality Education Score,0,13113140501
33.3765,-84.451059,,Point,33.3765,-84.451059,Quality Education Score,0,13113140501
33.3765,-84.441059,,Point,33.3765,-84.441059,Quality Education Score,0,13113140501
33.3765,-84.431059,,Point,33.3765,-84.431059,Quality Education Score,0,13113140501
33.3765,-84.421059,,Point,33.3765,-84.421059,Quality Education Score,0,13113140501
33.3765,-84.411059,,Point,33.3765,-84.411059,Quality Education Score,0,13113140501
33.3765,-84.401059,,Point,33.3765,-84.401059,Quality Education Score,0,13113140501
33.3765,-84.391059,,Point,33.3765,-84.391059,Quality Education Score,0,13113140501
33.3765,-84.381059,,Point,33.3765,-84.381059,Quality Education Score,0,13063040636
33.3765,-84.371059,,Point,33.3765,-84.371059,Quality Education Score,0,13063040636
33.3765,-84.361059,,Point,33.3765,-84.361059,Quality Education Score,0,13063040636
33.3865,-84.591059,,Point,33.3865,-84.591059,Quality Education Score,0,13113140303
33.3865,-84.581059,,Point,33.3865,-84.581059,Quality Education Score,0,13113140303
33.3865,-84.571059,,Point,33.3865,-84.571059,Quality Education Score,0,13113140303
33.3865,-84.561059,,Point,33.3865,-84.561059,Quality Education Score,0,13113140304
33.3865,-84.551059,,Point,33.3865,-84.551059,Quality Education Score,0,13113140304
33.3865,-84.541059,,Point,33.3865,-84.541059,Quality Education Score,0,13113140304
33.3865,-84.531059,,Point,33.3865,-84.531059,Quality Education Score,0,13113140307
33.3865,-84.521059,,Point,33.3865,-84.521059,Quality Education Score,0,13113140305
33.3865,-84.511059,,Point,33.3865,-84.511059,Quality Education Score,0,13113140305
33.3865,-84.491059,,Point,33.3865,-84.491059,Quality Education Score,0,13113140501
33.3865,-84.501059,,Point,33.3865,-84.501059,Quality Education Score,0,13113140405
33.3865,-84.481059,,Point,33.3865,-84.481059,Quality Education Score,0,13113140501
33.3865,-84.471059,,Point,33.3865,-84.471059,Quality Education Score,0,13113140405
33.3865,-84.461059,,Point,33.3865,-84.461059,Quality Education Score,0,13113140501
33.3865,-84.451059,,Point,33.3865,-84.451059,Quality Education Score,0,13113140501
33.3865,-84.441059,,Point,33.3865,-84.441059,Quality Education Score,0,13113140501
33.3865,-84.431059,,Point,33.3865,-84.431059,Quality Education Score,0,13113140501
33.3865,-84.421059,,Point,33.3865,-84.421059,Quality Education Score,0,13113140501
33.3865,-84.411059,,Point,33.3865,-84.411059,Quality Education Score,0,13113140408
33.3865,-84.401059,,Point,33.3865,-84.401059,Quality Education Score,0,13113140408
33.3865,-84.391059,,Point,33.3865,-84.391059,Quality Education Score,0,13113140408
33.3865,-84.381059,,Point,33.3865,-84.381059,Quality Education Score,0,13063040636
33.3865,-84.371059,,Point,33.3865,-84.371059,Quality Education Score,0,13063040636
33.3865,-84.361059,,Point,33.3865,-84.361059,Quality Education Score,0,13063040636
33.3965,-84.601059,,Point,33.3965,-84.601059,Quality Education Score,0,13113140303
33.3965,-84.591059,,Point,33.3965,-84.591059,Quality Education Score,0,13113140303
33.3965,-84.581059,,Point,33.3965,-84.581059,Quality Education Score,0,13113140303
33.3965,-84.571059,,Point,33.3965,-84.571059,Quality Education Score,0,13113140303
33.3965,-84.561059,,Point,33.3965,-84.561059,Quality Education Score,0,13113140304
33.3965,-84.551059,,Point,33.3965,-84.551059,Quality Education Score,0,13113140304
33.3965,-84.541059,,Point,33.3965,-84.541059,Quality Education Score,0,13113140304
33.3965,-84.531059,,Point,33.3965,-84.531059,Quality Education Score,0,13113140307
33.3965,-84.521059,,Point,33.3965,-84.521059,Quality Education Score,0,13113140305
33.3965,-84.511059,,Point,33.3965,-84.511059,Quality Education Score,0,13113140305
33.3965,-84.501059,,Point,33.3965,-84.501059,Quality Education Score,0,13113140405
33.3965,-84.491059,,Point,33.3965,-84.491059,Quality Education Score,0,13113140405
33.3965,-84.481059,,Point,33.3965,-84.481059,Quality Education Score,0,13113140405
33.3965,-84.471059,,Point,33.3965,-84.471059,Quality Education Score,0,13113140405
33.3965,-84.461059,,Point,33.3965,-84.461059,Quality Education Score,0,13113140405
33.3965,-84.451059,,Point,33.3965,-84.451059,Quality Education Score,0,13113140405
33.3965,-84.441059,,Point,33.3965,-84.441059,Quality Education Score,0,13113140408
33.3965,-84.431059,,Point,33.3965,-84.431059,Quality Education Score,0,13113140408
33.3965,-84.421059,,Point,33.3965,-84.421059,Quality Education Score,0,13113140408
33.3965,-84.411059,,Point,33.3965,-84.411059,Quality Education Score,0,13113140408
33.3965,-84.401059,,Point,33.3965,-84.401059,Quality Education Score,0,13113140408
33.3965,-84.391059,,Point,33.3965,-84.391059,Quality Education Score,0,13113140408
33.3965,-84.381059,,Point,33.3965,-84.381059,Quality Education Score,0,13063040636
33.3965,-84.371059,,Point,33.3965,-84.371059,Quality Education Score,0,13063040636
33.3965,-84.361059,,Point,33.3965,-84.361059,Quality Education Score,0,13063040636
33.4065,-84.611059,,Point,33.4065,-84.611059,Quality Education Score,0,13113140210
33.4065,-84.601059,,Point,33.4065,-84.601059,Quality Education Score,0,13113140210
33.4065,-84.591059,,Point,33.4065,-84.591059,Quality Education Score,0,13113140209
33.4065,-84.581059,,Point,33.4065,-84.581059,Quality Education Score,0,13113140207
33.4065,-84.571059,,Point,33.4065,-84.571059,Quality Education Score,0,13113140207
33.4065,-84.561059,,Point,33.4065,-84.561059,Quality Education Score,0,13113140304
33.4065,-84.541059,,Point,33.4065,-84.541059,Quality Education Score,0,13113140304
33.4065,-84.551059,,Point,33.4065,-84.551059,Quality Education Score,0,13113140304
33.4065,-84.531059,,Point,33.4065,-84.531059,Quality Education Score,0,13113140305
33.4065,-84.521059,,Point,33.4065,-84.521059,Quality Education Score,0,13113140305
33.4065,-84.511059,,Point,33.4065,-84.511059,Quality Education Score,0,13113140305
33.4065,-84.501059,,Point,33.4065,-84.501059,Quality Education Score,0,13113140405
33.4065,-84.491059,,Point,33.4065,-84.491059,Quality Education Score,0,13113140405
33.4065,-84.481059,,Point,33.4065,-84.481059,Quality Education Score,0,13113140405
33.4065,-84.471059,,Point,33.4065,-84.471059,Quality Education Score,0,13113140405
33.4065,-84.451059,,Point,33.4065,-84.451059,Quality Education Score,0,13113140405
33.4065,-84.461059,,Point,33.4065,-84.461059,Quality Education Score,0,13113140405
33.4065,-84.441059,,Point,33.4065,-84.441059,Quality Education Score,0,13113140408
33.4065,-84.431059,,Point,33.4065,-84.431059,Quality Education Score,0,13113140408
33.4065,-84.411059,,Point,33.4065,-84.411059,Quality Education Score,0,13113140408
33.4065,-84.421059,,Point,33.4065,-84.421059,Quality Education Score,0,13113140408
33.4065,-84.401059,,Point,33.4065,-84.401059,Quality Education Score,0,13113140408
33.4065,-84.391059,,Point,33.4065,-84.391059,Quality Education Score,0,13113140408
33.4065,-84.371059,,Point,33.4065,-84.371059,Quality Education Score,0,13063040636
33.4065,-84.381059,,Point,33.4065,-84.381059,Quality Education Score,0,13063040636
33.4065,-84.361059,,Point,33.4065,-84.361059,Quality Education Score,0,13063040636
33.4165,-84.611059,,Point,33.4165,-84.611059,Quality Education Score,0,13113140210
33.4165,-84.601059,,Point,33.4165,-84.601059,Quality Education Score,0,13113140209
33.4165,-84.591059,,Point,33.4165,-84.591059,Quality Education Score,0,13113140209
33.4165,-84.581059,,Point,33.4165,-84.581059,Quality Education Score,0,13113140207
33.4165,-84.571059,,Point,33.4165,-84.571059,Quality Education Score,0,13113140207
33.4165,-84.561059,,Point,33.4165,-84.561059,Quality Education Score,0,13113140206
33.4165,-84.551059,,Point,33.4165,-84.551059,Quality Education Score,0,13113140304
33.4165,-84.541059,,Point,33.4165,-84.541059,Quality Education Score,0,13113140304
33.4165,-84.531059,,Point,33.4165,-84.531059,Quality Education Score,0,13113140305
33.4165,-84.521059,,Point,33.4165,-84.521059,Quality Education Score,0,13113140305
33.4165,-84.511059,,Point,33.4165,-84.511059,Quality Education Score,0,13113140305
