System ID,System Name,School ID,School Name,Grade Cluster,2015,2016.0,2017.0,2018.0,2019.0,15 to 16,16 to 17,18 to 19,YoY Average,Average is positive?,Average score,CCRPI Score Data Availability (years),Applicable 25th Percentile,Average Score is in Top 75%?,CCRPI Scores Qualify Under Option C?,2019 BTO Designation
692,Lowndes County,211,Pine Grove Elementary School,E,89.7,83.3,88.2,79.3,64.3,-0.0713489409141584,0.0588235294117648,-0.189155107187894,-0.0672268395634292,No,80.96,2015-2019,66.04,Yes,No,Below Expected Range
692,Lowndes County,1050,Clyattville Elementary School,E,82.0,80.7,80.8,77.8,79.2,-0.0158536585365853,0.0012391573729863,0.0179948586118253,0.0011267858160754,Yes,80.1,2015-2019,66.04,Yes,Yes,Beating the Odds
692,Lowndes County,1052,Lowndes Middle School,M,73.8,73.5,73.1,82.1,85.3,-0.0040650406504064,-0.0054421768707483,0.0389768574908648,0.0098232133232366,Yes,77.56,2015-2019,65.54,Yes,Yes,Beating the Odds
692,Lowndes County,3050,Hahira Middle School,M,82.3,87.5,79.2,79.5,90.1,0.0631834750911301,-0.0948571428571428,0.133333333333333,0.0338865551891068,Yes,83.72,2015-2019,65.54,Yes,Yes,Beating the Odds
692,Lowndes County,4050,Lake Park Elementary School,E,92.0,88.7,86.4,69.1,67.6,-0.0358695652173913,-0.0259301014656144,-0.0217076700434153,-0.027835778908807,No,80.76,2015-2019,66.04,Yes,No,Below Expected Range
692,Lowndes County,5050,Lowndes High School,H,81.4,78.5,79.6,83.5,87.3,-0.0356265356265357,0.0140127388535031,0.0455089820359281,0.0079650617542985,Yes,82.06,2015-2019,67.97,Yes,Yes,Beating the Odds
692,Lowndes County,ALL,All Schools,E,84.2,83.0,84.9,83.7,75.1,-0.0142517814726841,0.0228915662650603,-0.102747909199522,-0.031369374802382,No,82.18,2015-2019,66.04,Yes,No,
692,Lowndes County,ALL,All Schools,H,81.4,78.0,79.1,83.5,87.3,-0.0417690417690418,0.014102564102564,0.0455089820359281,0.0059475014564834,Yes,81.86,2015-2019,67.97,Yes,Yes,
692,Lowndes County,ALL,All Schools,M,81.7,80.8,77.1,87.4,90.1,-0.0110159118727051,-0.0457920792079208,0.0308924485125857,-0.0086385141893467,No,83.42,2015-2019,65.54,Yes,No,
693,Lumpkin County,101,Lumpkin County High School,H,82.0,84.9,80.0,76.8,68.1,0.0353658536585367,-0.0577149587750295,-0.11328125,-0.0452101183721643,No,78.36,2015-2019,67.97,Yes,No,Below Expected Range
693,Lumpkin County,103,Blackburn Elementary School,E,89.6,92.6,76.6,68.5,83.6,0.0334821428571429,-0.172786177105832,0.220437956204379,0.0270446406518969,Yes,82.18,2015-2019,66.04,Yes,Yes,Beating the Odds
693,Lumpkin County,191,Long Branch Elementary School,E,73.1,82.6,72.8,51.0,75.2,0.129958960328317,-0.11864406779661,0.474509803921569,0.161941565484425,Yes,70.94,2015-2019,66.04,Yes,Yes,Within Expected Range
