ID_NUMBER,ACTIVITY_LOCATION,VIOLATION_TYPE,VIOLATION_TYPE_DESC,VIOL_DETERMINED_BY_AGENCY,DATE_VIOLATION_DETERMINED,ACTUAL_RTC_DATE,SCHEDULED_COMPLIANCE_DATE
GAD000827402,GA,262.M,"Standards Applicable to Generators of HW: Preparedness. Prevention, and Emergency Procedures for LQGs",E  ,05/03/2023,08/14/2023,
GAD000776781,GA,PCR,Violation of a permit condition or requirement,S  ,08/26/2021,04/29/2022,04/29/2022
GAD984303925,GA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,E  ,02/15/2022,10/19/2022,
GAR000015222,GA,268.A,Land Disposal Restrictions: General,E  ,02/15/2022,10/19/2022,
GAR000087106,GA,268.A,Land Disposal Restrictions: General,E  ,02/15/2022,10/19/2022,
GAR000075754,GA,273.C,Standards for Universal Waste Management: Standards for Large Quantity Handlers ,S  ,01/27/2023,10/31/2023,
GAR000015271,GA,262.D,Standards Applicable to Recordkeeping and Reporting Applicable to Small and Large Quantity Generators,E  ,02/15/2022,10/19/2022,
GAD096629282,GA,268.A,Land Disposal Restrictions: General,S  ,01/04/2001,03/15/2001,
GAD051011344,GA,FEA,Violation of a formal enforcement agreement or order. (3008(a) or 3013),S  ,09/14/2000,12/22/2000,
GA0000012914,GA,264.N,Standards for Owners and Operators of HW TSDs: Landfills RCRAInfo V3 Violation,S  ,01/30/1995,02/16/1995,
GA0570024109,GA,262.A,Standards Applicable to Generators of HW: General,S  ,02/08/1995,04/14/1995,04/15/1995
GAD033582461,GA,265.F,Interim Status Standards for Owners and Operators of HW TSDs: Ground-Water Monitoring,S  ,06/09/1993,12/10/1993,
GAD073446965,GA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,01/30/1997,08/08/1997,02/20/1997
GAD981243777,GA,262.A,Standards Applicable to Generators of HW: General,S  ,02/24/1989,04/18/1989,
GAD082169855,GA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,01/31/1996,01/31/1996,01/31/1996
