ID_NUMBER,ACTIVITY_LOCATION,VIOLATION_TYPE,VIOLATION_TYPE_DESC,VIOL_DETERMINED_BY_AGENCY,DATE_VIOLATION_DETERMINED,ACTUAL_RTC_DATE,SCHEDULED_COMPLIANCE_DATE
GAR000019893,GA,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,10/24/2008,11/21/2008,
GAR000023291,GA,265.D,Interim Status Standards for Owners and Operators of HW TSDs: Contingency Plan and Emergency Procedures,S  ,12/12/2008,01/29/2009,01/29/2009
GAD073460941,GA,264.I,Standards for Owners and Operators of HW TSDs: Use and Management of Containers,E  ,11/06/2009,09/30/2016,
GAD061022216,GA,264.F,Standards for Owners and Operators of HW TSDs: Releases from Solid Waste Management Units,S  ,03/07/2009,09/15/2009,
GAD069199628,GA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,03/09/2001,05/23/2001,05/24/2001
GAD984280412,GA,262.D,Standards Applicable to Recordkeeping and Reporting Applicable to Small and Large Quantity Generators,S  ,09/07/2001,10/11/2001,11/16/2001
GAD984319194,GA,266.H,Standards for the Management of Specific HW and Specific Types of HW Management Facilities: Hazardous Waste Burned in Boilers and Industrial Furnaces,S  ,10/19/2000,03/22/2001,
GA0000012807,GA,262.A,Standards Applicable to Generators of HW: General,S  ,12/11/2001,05/07/2002,
GAD984307660,GA,262.A,Standards Applicable to Generators of HW: General,S  ,08/01/2001,11/16/2001,11/12/2001
GAR000029934,GA,262.A,Standards Applicable to Generators of HW: General,S  ,05/24/2002,11/19/2002,06/21/2002
GAR000002303,GA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,05/20/2003,06/26/2003,07/16/2003
GAD984279661,GA,262.A,Standards Applicable to Generators of HW: General,S  ,02/21/2002,05/20/2002,05/17/2002
