amenity_key,google_type,place_id,name,lat,lon,types,vicinity,business_status
school,secondary_school,ChIJux3yGIVs9YgRQJdHOjy6pR8,Kell High School,34.06430539999999,-84.5129084,secondary_school|school|point_of_interest|establishment,"4770 Lee Waters Road, Marietta",OPERATIONAL
school,secondary_school,ChIJOXAsgOpr9YgRtMD_aL0RBVk,Woodstock High School,34.1017764,-84.5426837,secondary_school|school|point_of_interest|establishment,"2010 Towne Lake Hills South Drive, Woodstock",OPERATIONAL
school,secondary_school,ChIJlehg6hdr9YgR5z7qIw51cks,Shiloh Hills Christian School,34.0569093,-84.5500435,secondary_school|school|point_of_interest|establishment,"260 Hawkins Store Road Northeast, Kennesaw",OPERATIONAL
school,secondary_school,ChIJR8lV-NJr9YgRyjIJFhZOJP4,Etowah East Campus,34.11456330000001,-84.5605032,secondary_school|school|point_of_interest|establishment,"6500 Putnam Ford Drive, Woodstock",OPERATIONAL
school,secondary_school,ChIJ8daOutBr9YgRrdSNY08AkR4,Keystone Prep Academy,34.0833508,-84.5601971,secondary_school|school|point_of_interest|establishment,"Located at Real Life Christian Church, 7700 Georgia 92, Woodstock",OPERATIONAL
school,secondary_school,ChIJk7WVdgBt9YgRlu2lwr5JwKs,Kell Soccer,34.0633609,-84.5117639,secondary_school|school|point_of_interest|establishment,"1390 High Country Court, Marietta",OPERATIONAL
public_park,park,ChIJeTMHCm9r9YgRKTtb1m0MBPk,Noonday Park,34.0584961,-84.5348896,park|tourist_attraction|point_of_interest|establishment,"489 Hawkins Store Road Northeast, Kennesaw",OPERATIONAL
public_park,park,ChIJdTgFC5YO9YgREkMRh47CAw4,4 Seasons Pottery,34.08780849999999,-84.5732788,general_contractor|park|store|point_of_interest|establishment,"6889 Georgia 92, Woodstock",OPERATIONAL
public_park,park,ChIJFW1K3Ixr9YgRURhWWYc69F8,Woofstock Dog Park,34.09737270000001,-84.5297551,tourist_attraction|park|point_of_interest|establishment,"150 Dupree Road, Woodstock",OPERATIONAL
public_park,park,ChIJlY_f2WFq9YgRXsx2kl3-UHY,Josh Powell Camp,34.07919080000001,-84.5882233,campground|lodging|park|point_of_interest|establishment,"5242 Wade Green Road, Acworth",OPERATIONAL
public_park,park,ChIJe1h2C11r9YgRJ5c_HGty4PA,United Quest Park,34.0512488,-84.5301836,park|point_of_interest|establishment,"605 Hawkins Store Road Northeast, Kennesaw",OPERATIONAL
public_park,park,ChIJJRKlugts9YgREDiN8Y0khVQ,The Park at City Center,34.1016267,-84.5184737,park|tourist_attraction|point_of_interest|establishment,"101 Arnold Mill Road, Woodstock",OPERATIONAL
public_park,park,ChIJFbe1rwts9YgRiS8xnOT2IBo,Northside Hospital-Cherokee Amphitheater,34.1016214,-84.5172895,park|point_of_interest|establishment,"101 Arnold Mill Road, Woodstock",OPERATIONAL
public_park,park,ChIJV2DSwdtq9YgR_xpHGgoRHOI,Fairy Garden Mother,34.048831,-84.570521,park|point_of_interest|establishment,"4140 Cripple Creek Way Northwest, Kennesaw",OPERATIONAL
public_park,park,ChIJVVW5L7pr9YgRo7ys-e_Hbgw,Trefoil Gardens,34.0932655,-84.551597,park|point_of_interest|establishment,"122 Bascomb Drive, Woodstock",OPERATIONAL
public_park,park,ChIJTWPQCHFr9YgR9a0utmwNM2g,Noonday Creek WWTP,34.0682665,-84.5347718,park|point_of_interest|establishment,"520 Shallowford Road, Kennesaw",OPERATIONAL
public_park,park,ChIJAa37-HBr9YgRTiw7qZRhrw8,Noonday Park Entry,34.0681383,-84.5340252,park|point_of_interest|establishment,"520 Shallowford Road, Kennesaw",OPERATIONAL
public_park,park,ChIJnUpRewBr9YgRQICvfwhfXAY,"Noonday Park, backfields",34.0651286,-84.534874,park|point_of_interest|establishment,"547 Shallowford Road Northeast, Kennesaw",OPERATIONAL
public_park,park,ChIJ8_9o4G9r9YgRft32LLGyQjo,Noonday Soccer,34.0651762,-84.5339427,park|point_of_interest|establishment,"Noonday Park Access Road, Kennesaw",OPERATIONAL
public_park,park,ChIJHw_WfABr9YgRgs_DOMiTWqU,Parque,34.0649135,-84.5341218,park|point_of_interest|establishment,"547 Shallowford Road Northeast, Kennesaw",OPERATIONAL
public_park,park,ChIJuU7V9HBr9YgRC86kWZCfIc8,Noonday BMX,34.06385270000001,-84.5341982,park|point_of_interest|establishment,"547 Shallowford Road Northeast, Kennesaw",OPERATIONAL
