System ID,System Name,School ID,School Name,Grade Cluster,2015,2016,2017,2018,2019,15 to 16,16 to 17,18 to 19,YoY Average,Average is positive?,Average score,CCRPI Score Data Availability (years),Applicable 25th Percentile,Average Score is in Top 75%?,CCRPI Scores Qualify Under Option C?,2019 BTO Designation
605,Baldwin County,194,Midway Elementary School,E,56.3,56.6,55.9,,,0.005328597,-0.012367491,,-0.003519447,No,56.26666667,2015-2017,64.66666667,No,No,
605,Baldwin County,195,Blandy Hills Elementary School,E,49.4,62.8,69.4,,,0.271255061,0.105095541,,0.188175301,Yes,60.53333333,2015-2017,64.66666667,No,No,
605,Baldwin County,199,Creekside Elementary School,E,66.6,69,72.5,,,0.036036036,0.050724638,,0.043380337,Yes,69.36666667,2015-2017,64.66666667,Yes,Yes,
605,Baldwin County,300,Lakeview Academy,E,,,,66.5,71.6,,,0.076691729,0.076691729,Yes,69.05,2018-2019,65.75,Yes,Yes,Within Expected Range
605,Baldwin County,301,Midway Hills Primary,E,,,,50.2,60.5,,,0.205179283,0.205179283,Yes,55.35,2018-2019,65.75,No,No,Within Expected Range
605,Baldwin County,302,Lakeview Primary,E,,,,48.6,70.7,,,0.45473251,0.45473251,Yes,59.65,2018-2019,65.75,No,No,Within Expected Range
605,Baldwin County,303,Midway Hills Academy,E,,,,51.6,56.5,,,0.09496124,0.09496124,Yes,54.05,2018-2019,65.75,No,No,Below Expected Range
605,Baldwin County,ALL,All Schools,E,53,60,66.4,58.7,66.3,0.132075472,0.106666667,0.129471891,0.12273801,Yes,60.88,2015-2019,66.04,No,No,
605,Baldwin County,ALL,All Schools,H,72.8,77.3,75.7,59.8,81.7,0.061813187,-0.020698577,0.366220736,0.135778449,Yes,73.46,2015-2019,67.97,Yes,Yes,
605,Baldwin County,ALL,All Schools,M,55.1,58.6,59.4,61.4,64.6,0.063520871,0.013651877,0.052117264,0.043096671,Yes,59.82,2015-2019,65.54,No,No,
606,Banks County,105,Banks County Middle School,M,72.8,77.5,81.5,64.4,75.2,0.06456044,0.051612903,0.167701863,0.094625069,Yes,74.28,2015-2019,65.54,Yes,Yes,Within Expected Range
606,Banks County,107,Banks County Elementary School,E,73.2,79,80.9,80.9,75.8,0.079234973,0.024050633,-0.063040791,0.013414938,Yes,77.96,2015-2019,66.04,Yes,Yes,Below Expected Range
606,Banks County,199,Banks County High School,H,75.9,81.9,76.4,73.5,73.1,0.079051383,-0.067155067,-0.005442177,0.00215138,Yes,76.16,2015-2019,67.97,Yes,Yes,Within Expected Range
606,Banks County,205,Banks County Primary School,E,,,,77.1,74.3,,,-0.036316472,-0.036316472,No,75.7,2018-2019,65.75,Yes,No,Within Expected Range
606,Banks County,ALL,All Schools,E,72.5,77.8,80.7,80.9,75.9,0.073103448,0.037275064,-0.061804697,0.016191272,Yes,77.56,2015-2019,66.04,Yes,Yes,
606,Banks County,ALL,All Schools,H,75.9,81.9,75.9,73.5,73.1,0.079051383,-0.073260073,-0.005442177,0.000116378,Yes,76.06,2015-2019,67.97,Yes,Yes,
