,2020 Census Tract,Percent of Population Above the Poverty Level
1266,13121001204,93.7
1267,13121001205,92.6
1268,13121001206,89.9
1269,13121001301,91
1270,13121001302,70.1
1271,13121001400,92.4
1272,13121001501,92.1
1273,13121001502,91
1274,13121001600,97
1275,13121001701,72.1
1276,13121001702,91.7
1277,13121001801,51.2
1278,13121001802,92.7
1279,13121001901,49.2
1280,13121001902,88.6
1281,13121002100,71.2
1282,13121002300,66.7
1283,13121002400,60.4
1284,13121002500,58.7
1285,13121002600,69.1
1286,13121002801,75.1
1287,13121002802,56.1
1288,13121002900,87
1289,13121003000,97.3
1290,13121003100,88.5
1291,13121003200,95
1292,13121003500,60
1293,13121003600,85.1
1294,13121003700,41.5
1295,13121003800,79.9
1296,13121003900,75
1297,13121004000,72.7
1298,13121004100,89
1299,13121004200,62.6
1300,13121004300,77.6
1301,13121004400,69.3
1302,13121004800,61.4
1303,13121004900,79
1304,13121005000,92.6
1305,13121005200,92
1306,13121005300,94
1307,13121005501,56.1
1308,13121005503,74.5
1309,13121005504,68.8
1310,13121005700,80.9
1311,13121005800,89.4
1312,13121006000,79.3
1313,13121006100,62.4
1314,13121006200,75.5
1315,13121006300,60
1316,13121006400,75.4
1317,13121006500,79.8
1318,13121006601,72.4
1319,13121006602,65.2
1320,13121006701,71.9
1321,13121006702,84.2
1322,13121006801,0
1323,13121006802,16.299999999999997
1324,13121006900,83
1325,13121007001,62.3
1326,13121007002,80.4
1327,13121007100,72.3
1328,13121007200,55.3
1329,13121007301,90.3
1330,13121007302,55.7
1331,13121007400,59.9
1332,13121007500,73.5
1333,13121007602,83.4
1334,13121007603,55.5
1335,13121007604,66.4
1336,13121007703,82.9
1337,13121007705,86.2
1338,13121007707,68.8
1339,13121007708,84.7
1340,13121007709,78.1
1341,13121007710,77.8
1342,13121007711,94.4
1343,13121007805,86.2
1344,13121007806,90.4
1345,13121007807,81.7
1346,13121007808,36.8
1347,13121007809,82.1
1348,13121007810,74.1
1349,13121007900,91.7
1350,13121008000,81.4
1351,13121008103,73.1
1352,13121008104,67.9
1353,13121008202,60.4
1354,13121008203,72.7
1355,13121008204,75
1356,13121008301,58
1357,13121008302,67.6
1358,13121008400,52.7
1359,13121008500,59.8
1360,13121008601,66
1361,13121008602,72.3
1362,13121008701,72.9
1363,13121008702,91
1364,13121008801,96
1365,13121008802,91
1366,13121008903,79.1
1367,13121008905,94.3
1368,13121008906,100
1369,13121008907,91.4
1370,13121008908,73
1371,13121008909,97.6
1372,13121009001,93.3
1373,13121009002,98.7
1374,13121009103,84.9
1375,13121009104,89.1
1376,13121009105,100
1377,13121009106,83.4
1378,13121009201,59.9
1379,13121009202,88
1380,13121009203,86.7
1381,13121009301,89.3
1382,13121009302,95.2
1383,13121009405,88.8
1384,13121009406,90.6
1385,13121009407,92.3
1386,13121009408,79.6
1387,13121009409,80.2
1388,13121009410,90.6
1389,13121009411,90.6
1390,13121009501,97.2
1391,13121009503,84.2
1392,13121009504,88.7
1393,13121009601,95.7
1394,13121009604,86.6
1395,13121009605,90.1
1396,13121009606,97.2
1397,13121009607,93.7
1398,13121009700,97.5
1399,13121009802,95.7
1400,13121009803,96.1
1401,13121009804,100
1402,13121009900,95.7
1403,13121010003,88.6
1404,13121010004,93.3
1405,13121010005,99.4
1406,13121010006,82.5
1407,13121010007,100
1408,13121010106,93.9
1409,13121010107,96.3
1410,13121010108,96.8
1411,13121010115,96.9
1412,13121010117,92.4
1413,13121010120,95.4
1414,13121010121,94.5
1415,13121010124,70.7
1416,13121010125,90.7
1417,13121010126,91.6
1418,13121010127,95.3
1419,13121010128,81
1420,13121010129,98.6
1421,13121010130,96.3
1422,13121010131,99.1
1423,13121010132,96
1424,13121010133,93.8
1425,13121010134,94.6
1426,13121010135,92.6
1427,13121010136,91.8
1428,13121010137,98.9
1429,13121010204,97
1430,13121010211,97.1
1431,13121010212,85.8
1432,13121010213,83.8
1433,13121010214,72.4
1434,13121010215,100
1435,13121010216,95.3
1436,13121010217,99.1
1437,13121010218,94.1
1438,13121010219,95.4
1439,13121010220,92.9
1440,13121010221,94.2
1441,13121010222,96.4
1442,13121010223,98.3
1443,13121010305,87.6
1444,13121010306,97.3
1445,13121010307,92.5
1446,13121010308,92.3
1447,13121010309,94.6
1448,13121010310,97.7
1449,13121010311,93.6
1450,13121010312,85.1
1451,13121010313,89.1
1452,13121010314,98.1
1453,13121010315,98.1
1454,13121010401,85.7
1455,13121010402,91.9
1456,13121010508,84.5
1457,13121010517,86.8
1458,13121010518,93.2
1459,13121010519,86
1460,13121010520,65.5
1461,13121010521,78.6
1462,13121010522,70.2
1463,13121010523,92.5
1464,13121010524,96.2
1465,13121010525,84.3
1466,13121010526,90.7
1467,13121010527,84.3
1468,13121010528,87.3
1469,13121010529,82.2
1470,13121010530,90.2
1471,13121010531,95.4
1472,13121010532,92.1
1473,13121010533,95
1474,13121010534,86.9
1475,13121010535,94.2
1476,13121010536,98.3
1477,13121010537,80.6
1478,13121010538,87
1479,13121010539,94.7
1480,13121010540,98.9
1481,13121010601,70
1482,13121010603,85.1
1483,13121010604,75.1
1484,13121010801,62.4
1485,13121010802,86
1486,13121011000,61.9
1487,13121011100,87
1488,13121011202,76
1489,13121011203,72.6
1490,13121011204,74
1491,13121011301,84
1492,13121011306,85.5
1493,13121011307,67.4
1494,13121011308,83.8
1495,13121011309,87.5
1496,13121011310,62.5
1497,13121011416,98
1498,13121011417,95.6
1499,13121011419,96.2
1500,13121011421,87
1501,13121011422,96.7
1502,13121011423,95.2
1503,13121011424,99.2
1504,13121011426,98.4
1505,13121011428,100
1506,13121011429,93.1
1507,13121011430,78.3
1508,13121011431,93.9
1509,13121011432,91.9
1510,13121011433,96.4
1511,13121011434,100
1512,13121011435,85.9
1513,13121011436,93.8
1514,13121011437,90.1
1515,13121011438,88
1516,13121011439,96.3
1517,13121011440,94.8
1518,13121011441,97.7
1519,13121011442,91.8
1520,13121011443,100
1521,13121011444,99.6
1522,13121011445,99.2
1523,13121011446,97.7
1524,13121011505,97.5
1525,13121011507,91.6
1526,13121011508,100
1527,13121011509,98.3
1528,13121011510,98
1529,13121011511,100
1530,13121011512,98.7
1531,13121011513,93.5
1532,13121011514,100
1533,13121011515,99.2
1534,13121011612,97.8
1535,13121011618,84.7
1536,13121011624,97.5
1537,13121011627,100
1538,13121011628,94.3
1539,13121011629,99.7
1540,13121011630,98.2
1541,13121011631,93.9
1542,13121011632,99.3
1543,13121011633,99.4
1544,13121011634,96.2
1545,13121011635,98.4
1546,13121011636,99
1547,13121011637,100
1548,13121011638,94.4
1549,13121011639,94.9
1550,13121011640,98.4
1551,13121011641,98.2
1552,13121011642,96.9
1553,13121011643,90.1
1554,13121011644,94.4
1555,13121011645,99.9
1556,13121011646,95.5
1557,13121011647,96.7
1558,13121011648,100
1559,13121011649,91.1
1560,13121011650,97
1561,13121011651,98.1
1562,13121011652,96.8
1563,13121011653,94.8
1564,13121011654,96.9
1565,13121011655,95.1
1566,13121011656,99.4
1567,13121011657,97.9
1568,13121011658,78
1569,13121011659,100
1570,13121011660,88
1571,13121011661,96.4
1572,13121011801,83.1
1573,13121011802,59.4
1574,13121011901,67.6
1575,13121011902,62.8
1576,13121012000,48
1577,13121012300,87.9
1578,13121980000,-
1579,13123080100,90.2
1580,13123080200,79.8
1581,13123080301,81.2
1582,13123080302,82.2
1583,13123080401,83.9
1584,13123080402,89.7
1585,13123080403,96.2
1586,13123080500,79.4
1587,13125010100,84.4
1588,13127000101,87.8
1589,13127000103,96
1590,13127000104,92.3
1591,13127000201,96.6
1592,13127000202,95.2
1593,13127000301,100
1594,13127000302,94.9
1595,13127000303,98.4
1596,13127000403,91.2
1597,13127000405,79.6
1598,13127000406,89.7
1599,13127000407,98.4
1600,13127000408,91.8
1601,13127000409,83.3
1602,13127000501,73.6
1603,13127000503,73.7
1604,13127000504,78.9
1605,13127000601,73.1
1606,13127000602,94.1
1607,13127000701,79.5
1608,13127000702,54.1
1609,13127000800,55.8
1610,13127000900,66.3
1611,13127001001,91.9
1612,13127001002,82.7
1613,13127990000,-
1614,13129970101,92.9
1615,13129970102,72
1616,13129970201,82.5
1617,13129970202,83.7
1618,13129970301,75.1
1619,13129970302,81.4
1620,13129970400,83.6
1621,13129970500,79.7
1622,13129970601,88.7
1623,13129970602,77.8
1624,13129970700,79.7
1625,13129970801,93.1
1626,13129970802,85.3
1627,13129970901,97.5
1628,13129970902,86.6
1629,13131950100,83.6
1630,13131950200,94
1631,13131950300,74.6
1632,13131950401,88.5
1633,13131950402,73.7
1634,13131950501,86.1
1635,13131950502,87
1636,13131950600,79.2
1637,13133950100,88.4
1638,13133950200,79.4
1639,13133950301,96.7
1640,13133950302,92.1
1641,13133950304,95.2
1642,13133950305,71.1
1643,13133950400,64.9
1644,13133950500,87.6
1645,13135050105,82.3
1646,13135050110,78.9
1647,13135050111,88.1
1648,13135050112,84.8
1649,13135050113,87.4
1650,13135050114,97.1
1651,13135050115,95.8
1652,13135050116,98
1653,13135050117,98.6
1654,13135050118,77
1655,13135050119,96.7
1656,13135050120,97.6
1657,13135050121,95.3
1658,13135050205,88.8
1659,13135050215,83.5
1660,13135050218,82.7
1661,13135050219,91.1
1662,13135050221,81.4
1663,13135050222,84.5
1664,13135050223,79.9
1665,13135050224,97
1666,13135050225,91.7
1667,13135050226,93.3
1668,13135050227,83.2
1669,13135050228,95.6
1670,13135050229,79.7
1671,13135050230,91.1
1672,13135050231,94.1
1673,13135050232,98.6
1674,13135050233,100
1675,13135050234,99.5
1676,13135050235,86.2
1677,13135050236,70.7
1678,13135050237,100
1679,13135050238,84.2
1680,13135050239,94.2
1681,13135050240,92.6
1682,13135050241,95.3
1683,13135050242,93.5
1684,13135050243,98.5
1685,13135050244,100
1686,13135050306,82.7
1687,13135050308,98.2
1688,13135050311,97.2
1689,13135050315,83.7
1690,13135050317,84.9
1691,13135050318,83.2
1692,13135050321,97.7
1693,13135050322,97.4
1694,13135050323,98.6
1695,13135050324,96.2
1696,13135050325,84.2
1697,13135050326,59.3
1698,13135050327,82.7
1699,13135050328,73.1
1700,13135050329,82.5
1701,13135050330,84.3
1702,13135050331,83
1703,13135050332,82.8
1704,13135050333,89.3
1705,13135050334,82.2
1706,13135050335,91.1
1707,13135050336,92.3
1708,13135050415,85
1709,13135050416,90.2
1710,13135050425,93.5
1711,13135050427,91.8
1712,13135050430,93.8
1713,13135050433,84.3
1714,13135050435,90.8
1715,13135050437,76.5
1716,13135050438,83.4
1717,13135050439,71.3
1718,13135050440,72.3
1719,13135050441,83
1720,13135050442,94.8
1721,13135050443,96.5
1722,13135050444,92
1723,13135050445,92.2
1724,13135050446,75.1
1725,13135050447,73.9
1726,13135050448,72.3
1727,13135050449,79.8
1728,13135050450,84.5
1729,13135050451,83.5
1730,13135050452,73.9
1731,13135050453,83.6
1732,13135050454,88.8
1733,13135050455,78.2
1734,13135050456,87.1
1735,13135050457,96.7
1736,13135050458,86.2
1737,13135050459,89.6
1738,13135050460,53.3
1739,13135050461,98.7
1740,13135050462,97.4
1741,13135050463,93.6
1742,13135050464,73
1743,13135050465,82.2
1744,13135050466,93.1
1745,13135050520,79.9
1746,13135050521,91.1
1747,13135050522,75.5
1748,13135050526,80.9
1749,13135050528,89.9
1750,13135050529,97.5
1751,13135050530,95.7
1752,13135050536,91.3
1753,13135050537,80.2
1754,13135050539,80.1
1755,13135050541,82.1
1756,13135050542,81.1
1757,13135050549,87
1758,13135050550,92.8
1759,13135050551,91.3
1760,13135050552,95.1
1761,13135050553,96
1762,13135050554,85.9
1763,13135050555,90.6
1764,13135050556,97.9
1765,13135050557,98.1
1766,13135050558,94.1
1767,13135050559,78.8
1768,13135050560,95.5
1769,13135050561,81.6
1770,13135050562,78.7
1771,13135050563,85.8
1772,13135050564,68.8
1773,13135050565,91.4
1774,13135050566,92.8
1775,13135050567,96
1776,13135050568,97.7
1777,13135050569,78
1778,13135050570,94
1779,13135050571,77.3
1780,13135050572,82.3
1781,13135050573,90.1
1782,13135050574,78.8
1783,13135050575,95.7
1784,13135050576,97.7
1785,13135050577,93
1786,13135050578,95.2
1787,13135050579,94.5
1788,13135050580,87.8
1789,13135050581,95.4
1790,13135050582,97.2
1791,13135050583,89.7
1792,13135050584,96.5
1793,13135050585,100
1794,13135050586,88.3
1795,13135050587,69.4
1796,13135050588,96.5
1797,13135050589,75.5
1798,13135050590,89.3
1799,13135050591,94.1
1800,13135050611,93.7
1801,13135050612,93.8
1802,13135050613,99.6
1803,13135050614,96.2
1804,13135050615,90.6
1805,13135050616,97.1
1806,13135050617,94.3
1807,13135050618,96.6
1808,13135050619,89.2
1809,13135050620,99.5
1810,13135050621,93.6
1811,13135050622,97.3
1812,13135050623,95.7
1813,13135050624,93.9
1814,13135050625,80.2
1815,13135050626,100
1816,13135050627,84.6
1817,13135050628,90.1
1818,13135050629,100
1819,13135050630,100
1820,13135050631,81.8
1821,13135050632,98.7
1822,13135050633,96.4
1823,13135050634,88.5
1824,13135050635,99.8
1825,13135050636,100
1826,13135050715,81.4
1827,13135050719,88.7
1828,13135050722,92
1829,13135050725,93.3
1830,13135050729,91.8
1831,13135050732,81.6
1832,13135050733,89.7
1833,13135050734,89.8
1834,13135050735,86.9
1835,13135050736,96.4
1836,13135050737,99.9
1837,13135050738,91.5
1838,13135050739,90.9
1839,13135050740,89.1
1840,13135050741,98.2
1841,13135050742,93
1842,13135050743,96.2
1843,13135050744,93.3
1844,13135050745,99.3
1845,13135050746,94.4
1846,13135050747,98.4
1847,13135050748,100
1848,13135050749,91.4
1849,13135050750,97
1850,13135050751,95.1
1851,13135050752,93.1
1852,13135050753,95.4
1853,13135050754,93.3
1854,13135050755,90
1855,13135050756,97.9
1856,13135050757,94.4
1857,13135050758,91.4
1858,13135050759,95.4
1859,13135050760,95.3
1860,13135050761,98.6
1861,13135050762,93
1862,13135050763,80
1863,13135050764,94.5
1864,13135050765,92.1
1865,13137000100,92.8
1866,13137000201,89.7
1867,13137000203,95.9
1868,13137000204,80.5
1869,13137000300,88.6
1870,13137000400,88.1
1871,13137000501,74.6
1872,13137000502,87.4
1873,13137000601,87.3
1874,13137000603,93.6
1875,13137000604,74.8
1876,13139000101,90.1
1877,13139000102,88.8
1878,13139000203,91.4
1879,13139000204,96.3
1880,13139000205,86.3
1881,13139000206,95.1
1882,13139000303,95.8
1883,13139000304,88.2
1884,13139000305,91
1885,13139000306,87.1
1886,13139000307,96.5
1887,13139000401,85
1888,13139000402,97.3
1889,13139000501,97.5
1890,13139000502,80.4
1891,13139000601,79.8
1892,13139000602,88.3
1893,13139000702,77.2
1894,13139000703,75.1
1895,13139000704,75.5
1896,13139000800,66.8
1897,13139000901,93.9
1898,13139000902,90.4
1899,13139001004,72.7
1900,13139001005,95.3
1901,13139001006,77.2
1902,13139001007,60.1
1903,13139001008,70.4
1904,13139001101,60.7
1905,13139001102,80.5
1906,13139001202,66
1907,13139001203,66.3
1908,13139001204,78.2
1909,13139001302,89.7
1910,13139001303,84.8
1911,13139001304,87.7
1912,13139001402,93.1
1913,13139001404,81.3
1914,13139001405,95.1
1915,13139001406,91.9
1916,13139001501,88.7
1917,13139001502,95.5
1918,13139001603,95
1919,13139001605,92.9
1920,13139001606,94.1
1921,13139001607,82.6
1922,13139001609,97
1923,13139001610,92.3
1924,13139001611,95.7
1925,13139001612,95
1926,13141480300,85
1927,13141480400,63.6
1928,13143010100,83.5
1929,13143010201,84.5
1930,13143010202,84.8
1931,13143010301,93
1932,13143010303,71.6
1933,13143010304,95.3
1934,13143010401,87.3
1935,13143010402,90
1936,13145120198,89.9
1937,13145120200,92.1
1938,13145120301,96.9
1939,13145120302,94.4
1940,13145120401,94.8
1941,13145120403,99.2
1942,13145120404,91.1
1943,13147960101,96.2
1944,13147960102,87.6
1945,13147960103,82.7
1946,13147960200,91.3
1947,13147960300,86.3
1948,13147960401,82.5
1949,13147960402,76.4
1950,13147960501,90.7
1951,13147960502,98.7
1952,13147960503,81.7
1953,13149970100,76
1954,13149970200,83.7
1955,13149970300,79.7
1956,13151070109,98.3
1957,13151070113,79.7
1958,13151070114,90
1959,13151070115,83.5
1960,13151070116,99.6
1961,13151070117,92.6
1962,13151070118,87.9
1963,13151070119,95.9
1964,13151070120,85.3
1965,13151070121,96.2
1966,13151070122,93.4
1967,13151070123,91.9
1968,13151070124,96.6
1969,13151070125,96.3
1970,13151070126,86
1971,13151070127,87.8
1972,13151070128,93.8
1973,13151070204,93.6
1974,13151070206,99
1975,13151070207,99.8
1976,13151070208,97.9
1977,13151070209,99.8
1978,13151070210,96.5
1979,13151070211,93.4
1980,13151070212,92.9
1981,13151070213,100
1982,13151070214,100
1983,13151070215,100
1984,13151070216,100
1985,13151070307,97.7
1986,13151070310,97.7
1987,13151070312,88.1
1988,13151070313,93.5
1989,13151070314,97.6
1990,13151070315,93.4
1991,13151070316,80.9
1992,13151070317,96.2
1993,13151070318,79
1994,13151070319,83.9
1995,13151070320,89.3
1996,13151070321,85.2
1997,13151070322,86
1998,13151070323,68.2
1999,13151070324,60.1
2000,13151070325,83.8
2001,13151070405,92.8
2002,13151070406,71.9
2003,13151070407,98
2004,13151070408,93.3
2005,13151070409,94.5
2006,13151070410,88.4
2007,13151070411,94.4
2008,13151070412,93.5
2009,13151070503,88.7
2010,13151070504,88.9
2011,13151070505,87.6
2012,13151070506,97.4
2013,13151070507,84.6
2014,13151070508,96.9
2015,13153020106,88.1
2016,13153020108,74.5
2017,13153020110,92.8
2018,13153020111,85.4
2019,13153020112,95.7
2020,13153020113,95.9
2021,13153020200,85.6
2022,13153020301,78.1
2023,13153020302,65.8
2024,13153020400,51.7
2025,13153020600,95
2026,13153020700,74.6
2027,13153020800,85.6
2028,13153020900,91.8
2029,13153021001,92.4
2030,13153021002,85
2031,13153021108,95.8
2032,13153021114,97.5
2033,13153021115,92.7
2034,13153021116,80
2035,13153021117,96.8
2036,13153021118,75.8
2037,13153021119,93.2
2038,13153021120,86.1
2039,13153021121,88
2040,13153021122,95.8
2041,13153021123,97.6
2042,13153021124,100
2043,13153021125,94.2
2044,13153021203,97.7
2045,13153021204,96
2046,13153021205,95.5
2047,13153021206,89.5
2048,13153021300,78.3
2049,13153021401,84.9
2050,13153021402,91.3
2051,13153021501,92.3
2052,13153021502,90.3
2053,13155950100,70.5
2054,13155950201,83.2
2055,13155950202,81.2
2056,13157010104,94.9
2057,13157010105,89.9
2058,13157010106,85.3
2059,13157010107,98.8
2060,13157010108,89
2061,13157010109,95.3
2062,13157010200,84.2
2063,13157010300,87.8
2064,13157010400,85.9
2065,13157010500,88.9
2066,13157010601,85
2067,13157010602,91.6
2068,13157010701,84.5
2069,13157010703,88.1
2070,13157010704,99.2
2071,13157010705,98.3
2072,13157010706,86.5
2073,13159010100,83.2
2074,13159010200,89.5
2075,13159010501,77.4
2076,13159010502,77
2077,13159010503,94.1
2078,13161960101,82.4
2079,13161960102,73.3
2080,13161960201,82.1
2081,13161960202,81.8
2082,13161960300,77.3
2083,13163960100,78.9
2084,13163960200,89.3
2085,13163960300,80.3
2086,13163960400,83.4
2087,13165960100,70.3
2088,13165960200,76.6
2089,13167960100,82.6
2090,13167960201,74.8
2091,13167960202,76.2
2092,13167960300,88.7
2093,13169030101,97.9
2094,13169030103,93.5
2095,13169030105,83.2
2096,13169030106,78.6
2097,13169030200,79
2098,13169030303,77.7
2099,13169030304,88.5
2100,13169030305,82.1
2101,13169030306,93.8
2102,13171970100,89
2103,13171970201,88.8
2104,13171970202,96.3
2105,13171970300,79.8
2106,13173950100,65.4
2107,13173950201,61
2108,13173950202,70.3
2109,13175950100,77
2110,13175950201,82.1
2111,13175950202,92.8
2112,13175950300,90.2
2113,13175950400,64.4
2114,13175950500,66.7
2115,13175950600,84.1
2116,13175950700,84.5
2117,13175950800,63.6
2118,13175950900,44.9
2119,13175951001,79.1
2120,13175951002,70.4
2121,13175951100,74.4
2122,13175951400,80.5
2123,13177020101,89.3
2124,13177020102,96.9
2125,13177020200,87.4
2126,13177020301,79.6
2127,13177020302,89.3
2128,13177020403,95.5
2129,13177020404,86.3
2130,13177020405,90.5
2131,13179010101,83.4
2132,13179010102,88
2133,13179010103,95
2134,13179010202,72.8
2135,13179010204,73
2136,13179010205,82.8
2137,13179010206,85.8
2138,13179010207,81.4
2139,13179010208,92.8
2140,13179010301,85.3
2141,13179010302,76.6
2142,13179010401,93.9
2143,13179010402,81.8
2144,13179010501,87.9
2145,13179010503,83.2
2146,13179010504,89.7
2147,13179010600,80.1
2148,13179990000,-
2149,13181970100,81.4
2150,13181970200,81.6
2151,13183970101,81.7
2152,13183970102,89.2
2153,13183970201,64.5
2154,13183970202,79.9
2155,13183980000,-
2156,13185010101,81.2
2157,13185010102,77.1
2158,13185010103,86.9
2159,13185010201,94.1
2160,13185010203,84.1
2161,13185010204,99.9
2162,13185010301,81.4
2163,13185010302,97.2
2164,13185010401,83.5
2165,13185010403,64.2
2166,13185010404,71.1
2167,13185010500,59.1
2168,13185010601,66.2
2169,13185010604,78.3
2170,13185010700,86.3
2171,13185010801,77.6
2172,13185010802,46.4
2173,13185010900,59.9
2174,13185011000,57.7
2175,13185011100,75.8
2176,13185011200,77.2
2177,13185011301,44.2
2178,13185011302,60.7
2179,13185011401,78.2
2180,13185011402,65
2181,13185011404,75.3
2182,13185011405,87.7
2183,13185011500,83.1
2184,13185011600,82.7
2185,13187960103,86
2186,13187960104,92.5
2187,13187960105,94.6
2188,13187960106,92
2189,13187960203,89.4
2190,13187960204,61.3
2191,13187960205,90
2192,13187960206,89.6
2193,13189950100,91.6
2194,13189950200,87.4
2195,13189950300,77.7
2196,13189950401,86.7
2197,13189950402,78.7
2198,13189950500,78.9
2199,13191110101,53.9
2200,13191110102,84.5
2201,13191110103,97.4
2202,13191110201,83.5
2203,13191110202,70.9
2204,13191110300,84
2205,13191980000,-
2206,13191990000,-
2207,13193000100,64.1
2208,13193000200,63.2
2209,13193000300,63.3
2210,13193000400,84.3
2211,13195020100,64
2212,13195020200,85
2213,13195020300,79.1
2214,13195020400,81.3
2215,13195020501,86.6
2216,13195020502,81.2
2217,13195020600,75.2
2218,13197920100,87.9
2219,13197920200,84.8
2220,13199970501,80.4
2221,13199970502,71.4
2222,13199970600,65.3
2223,13199970701,78.9
2224,13199970702,87.8
2225,13199970801,74.9
2226,13199970802,87
2227,13201950100,71.7
2228,13201950200,78.1
2229,13201950300,80.8
2230,13205090100,84.1
2231,13205090200,75.9
2232,13205090300,55.4
2233,13205090401,90.3
2234,13205090402,65.9
2235,13205090501,81.9
2236,13205090502,69
2237,13207050101,84.2
2238,13207050102,71.2
2239,13207050200,75.2
2240,13207050301,95
2241,13207050302,96.9
2242,13209950100,86.6
2243,13209950200,78.4
2244,13209950300,88.9
2245,13211010100,97.1
2246,13211010200,91.6
2247,13211010301,93
2248,13211010302,96.6
2249,13211010400,90.9
2250,13211010500,89.6
2251,13213010100,81.2
2252,13213010201,89.1
2253,13213010203,96.3
2254,13213010204,86.2
2255,13213010300,76.1
2256,13213010401,71.1
2257,13213010402,85.2
2258,13213010500,92.5
2259,13213010600,80.7
2260,13213010700,87.9
2261,13215000200,91.7
2262,13215000300,51.1
2263,13215000400,88.2
2264,13215000800,60.9
2265,13215000900,87.1
2266,13215001000,91
2267,13215001100,87
2268,13215001200,80
2269,13215001400,56.6
2270,13215001600,61.8
2271,13215001800,58.2
2272,13215002000,74.6
2273,13215002100,69.8
2274,13215002200,82.3
2275,13215002300,71.1
2276,13215002400,45.2
2277,13215002500,48.2
2278,13215002700,75.8
2279,13215002800,71.4
2280,13215002901,62.1
2281,13215002902,55.5
2282,13215003000,42.2
2283,13215003200,70.7
2284,13215003301,35.8
2285,13215003302,58
2286,13215003400,49.4
2287,13215010106,89.9
2288,13215010108,92.2
2289,13215010109,77.7
2290,13215010110,98.1
2291,13215010111,96.9
2292,13215010204,87.6
2293,13215010205,94.3
2294,13215010206,97.5
2295,13215010207,94.4
2296,13215010208,96.6
2297,13215010209,97.3
2298,13215010301,97.2
2299,13215010303,92.7
2300,13215010304,99.1
2301,13215010401,87.5
2302,13215010402,79.5
2303,13215010501,76.2
2304,13215010502,84.1
2305,13215010602,81.6
2306,13215010605,75.5
2307,13215010606,100
2308,13215010607,76.4
2309,13215010608,72.5
2310,13215010701,75.5
2311,13215010702,86.5
2312,13215010704,68.3
2313,13215010705,85.4
2314,13215010801,81.3
2315,13215010802,86.2
2316,13215011100,74.8
2317,13215011200,82.7
2318,13215011400,59.7
2319,13215011500,61.7
2320,13217100101,91.1
2321,13217100102,95.3
2322,13217100202,96.7
2323,13217100203,92.3
2324,13217100204,85.6
2325,13217100301,81.7
2326,13217100302,94
2327,13217100400,71.5
2328,13217100503,85.9
2329,13217100504,83.9
2330,13217100505,94.6
2331,13217100506,94
2332,13217100507,88.1
2333,13217100600,80.2
2334,13217100701,76.9
2335,13217100702,90.6
2336,13217100801,93.4
2337,13217100802,72.7
2338,13217100902,80.7
2339,13217100903,80.3
2340,13217100904,85.7
2341,13217100905,85.3
2342,13219030101,99.8
2343,13219030102,98.2
2344,13219030103,97.9
2345,13219030104,100
2346,13219030201,89
2347,13219030202,85.2
2348,13219030300,96.4
2349,13219030401,94.8
2350,13219030402,93.4
2351,13219030500,97.1
2352,13219030600,98
2353,13221960100,92.4
2354,13221960203,84.9
2355,13221960204,93.2
2356,13221960205,88.3
2357,13221960206,84.8
2358,13221960300,97.5
2359,13223120104,93.4
2360,13223120105,98.1
2361,13223120106,88.9
2362,13223120107,96.1
2363,13223120108,93.3
2364,13223120109,99.3
2365,13223120110,99.4
2366,13223120111,95
2367,13223120203,96.8
2368,13223120205,98.3
2369,13223120206,98.2
2370,13223120207,97.2
2371,13223120208,88.5
2372,13223120301,88.5
2373,13223120303,90.3
2374,13223120304,78.1
2375,13223120305,94.5
2376,13223120306,98.3
2377,13223120307,75.9
2378,13223120401,90.4
2379,13223120402,90.9
2380,13223120403,85.1
2381,13223120503,97.9
2382,13223120504,94.5
2383,13223120505,95.5
2384,13223120506,96.2
2385,13223120507,93.6
2386,13223120601,90.8
2387,13223120603,95.4
2388,13223120604,90.5
2389,13223120605,97.4
2390,13223120606,96.4
2391,13223120607,91.3
2392,13225040101,99
2393,13225040103,88
2394,13225040104,81.3
2395,13225040105,74.1
2396,13225040200,71.3
2397,13225040301,88.4
2398,13225040302,64.7
2399,13225040400,77.7
2400,13227050101,100
2401,13227050102,92.8
2402,13227050201,75.5
2403,13227050202,93.8
2404,13227050300,84.1
2405,13227050400,87.7
2406,13227050500,86.8
2407,13227050601,91.4
2408,13227050602,80.8
2409,13229960100,82.2
2410,13229960200,90.6
2411,13229960301,77
2412,13229960302,90.5
2413,13229960401,78.3
2414,13229960402,81.4
2415,13231010101,85.8
2416,13231010102,91.3
2417,13231010200,93.7
2418,13231010300,90
2419,13231010400,95.6
2420,13233010100,89.5
2421,13233010201,83.6
2422,13233010202,89.9
2423,13233010300,72.8
2424,13233010400,69.4
2425,13233010500,82.2
2426,13233010600,84.4
2427,13233010700,87.8
2428,13235950100,82.9
2429,13235950201,68.6
2430,13235950202,94.3
2431,13235950300,84.5
2432,13237960101,72.4
2433,13237960103,91.3
2434,13237960104,94.9
2435,13237960201,79.3
2436,13237960203,65.8
2437,13237960204,93.1
2438,13237960301,95.2
2439,13237960302,83.8
2440,13239960300,81.1
2441,13241970101,82.8
2442,13241970102,83.6
2443,13241970103,79.1
2444,13241970201,85.2
2445,13241970202,82.4
2446,13241970302,81.7
2447,13241970303,80.5
2448,13241970304,96.5
2449,13243790100,68
2450,13243790200,69.7
2451,13245000100,85.9
2452,13245000200,62.9
2453,13245000300,55.5
2454,13245000600,63.9
2455,13245000700,55.4
2456,13245001000,79
