,2020 Census Tract,Percent of Population Above the Poverty Level
294,13051004300,74.9
295,13051004400,63.5
296,13051004500,78.3
297,13051010102,73.8
298,13051010200,84.4
299,13051010502,66
300,13051010503,79.4
301,13051010504,68.7
302,13051010601,89
303,13051010603,84.2
304,13051010701,100
305,13051010702,93.2
306,13051010703,96.1
307,13051010704,97.2
308,13051010705,98.8
309,13051010706,94.2
310,13051010707,100
311,13051010801,92
312,13051010806,91.5
313,13051010807,91.8
314,13051010810,96.5
315,13051010811,93.3
316,13051010812,99.4
317,13051010813,73.6
318,13051010814,96
319,13051010815,97.8
320,13051010816,90.1
321,13051010817,96.7
322,13051010818,63.9
323,13051010819,85.8
324,13051010820,91.9
325,13051010821,95.1
326,13051010901,72.1
327,13051011004,93.1
328,13051011005,95.9
329,13051011006,98
330,13051011007,95.1
331,13051011008,89.2
332,13051011104,96.5
333,13051011107,98.9
334,13051011108,96.9
335,13051011110,97.4
336,13051011111,93.5
337,13051011112,94.4
338,13051011113,99.2
339,13051011114,89.4
340,13051011115,93.8
341,13051011200,73.2
342,13051011300,65.6
343,13051011400,64.6
344,13051011500,90.9
345,13051011600,83.4
346,13051011700,47.6
347,13051011800,67.3
348,13051011900,75.8
349,13051980000,-
350,13051990000,-
351,13053020100,69.7
352,13053020201,100
353,13053020203,88.1
354,13053020205,86.6
355,13053020206,-
356,13055010100,79.5
357,13055010201,87.1
358,13055010202,66.8
359,13055010300,71.8
360,13055010401,85.9
361,13055010402,69.6
362,13055010501,85.3
363,13055010502,77.4
364,13055010600,89.1
365,13057090101,95.2
366,13057090102,88.7
367,13057090103,99.1
368,13057090201,84
369,13057090202,92
370,13057090301,97.4
371,13057090302,98.8
372,13057090303,98.5
373,13057090401,73
374,13057090402,98.1
375,13057090503,90.6
376,13057090504,100
377,13057090505,99
378,13057090506,93.8
379,13057090507,99.3
380,13057090603,92.7
381,13057090604,71.3
382,13057090605,83.9
383,13057090606,93.5
384,13057090703,91.5
385,13057090704,97
386,13057090705,100
387,13057090706,98.6
388,13057090707,75.7
389,13057090708,94.7
390,13057090709,91.1
391,13057090710,99.9
392,13057090805,85.9
393,13057090806,97.1
394,13057090807,94.5
395,13057090808,96.7
396,13057090809,88.6
397,13057090810,94.2
398,13057090905,89.8
399,13057090906,98.8
400,13057090907,96.3
401,13057090908,97.6
402,13057090909,93
403,13057090910,91.7
404,13057090911,98.5
405,13057090912,84.9
406,13057091001,86.8
407,13057091006,97.3
408,13057091007,97.9
409,13057091009,96.9
410,13057091010,96.6
411,13057091011,85.7
412,13057091012,87.5
413,13057091013,85
414,13057091014,82.9
415,13057091101,96.5
416,13057091104,93.1
417,13057091105,91
418,13057091106,94.1
419,13057091107,98.5
420,13057091108,97.9
421,13059000100,18.700000000000003
422,13059000401,68
423,13059000402,23.700000000000003
424,13059000600,52.2
425,13059000900,45.9
426,13059001200,90.7
427,13059001700,87.5
428,13059001800,89.9
429,13059001900,75.4
430,13059002000,89.9
431,13059002100,59.7
432,13059002200,68.3
433,13059030101,32.7
434,13059030102,67.1
435,13059030200,55.3
436,13059130300,84.9
437,13059130400,86.4
438,13059130500,86.6
439,13059130601,80.4
440,13059130602,57.2
441,13059130701,87
442,13059130702,95.1
443,13059140300,83.5
444,13059140400,76.7
445,13059140500,69.4
446,13059140600,90.3
447,13059150300,86.2
448,13059150400,39.3
449,13059150500,60.9
450,13059150600,79.3
451,13059150701,79.6
452,13059150702,98.1
453,13059150800,86.7
454,13059150900,85.2
455,13061960300,74.3
456,13063040202,87.3
457,13063040203,92.5
458,13063040204,84.3
459,13063040302,75.6
460,13063040306,69.2
461,13063040307,90
462,13063040308,79.2
463,13063040309,77.5
464,13063040310,73.4
465,13063040407,87.6
466,13063040409,88.4
467,13063040410,88.5
468,13063040414,66.6
469,13063040416,77.1
470,13063040417,81.1
471,13063040418,71.1
472,13063040419,81.7
473,13063040420,85
474,13063040421,90.4
475,13063040422,64.4
476,13063040423,68.5
