,2020 Census Tract,Median Income
319,13051010815,61550
320,13051010816,40321
321,13051010817,83222
322,13051010818,60191
323,13051010819,81179
324,13051010820,62155
325,13051010821,107612
326,13051010901,32028
327,13051011004,97083
328,13051011005,99476
329,13051011006,109497
330,13051011007,108245
331,13051011008,73321
332,13051011104,64431
333,13051011107,100353
334,13051011108,93889
335,13051011110,100000
336,13051011111,102015
337,13051011112,81685
338,13051011113,105740
339,13051011114,80299
340,13051011115,98015
341,13051011200,67399
342,13051011300,38333
343,13051011400,37750
344,13051011500,100710
345,13051011600,40625
346,13051011700,52727
347,13051011800,76250
348,13051011900,53646
349,13051980000,-
350,13051990000,-
351,13053020100,32061
352,13053020201,90313
353,13053020203,51477
354,13053020205,52821
355,13053020206,-
356,13055010100,48295
357,13055010201,46641
358,13055010202,36932
359,13055010300,31311
360,13055010401,38668
361,13055010402,21054
362,13055010501,47143
363,13055010502,31277
364,13055010600,46711
365,13057090101,82292
366,13057090102,75840
367,13057090103,84961
368,13057090201,80083
369,13057090202,92262
370,13057090301,126250
371,13057090302,92326
372,13057090303,84236
373,13057090401,42898
374,13057090402,75507
375,13057090503,134446
376,13057090504,121997
377,13057090505,118008
378,13057090506,92393
379,13057090507,142222
380,13057090603,86563
381,13057090604,60659
382,13057090605,63164
383,13057090606,71801
384,13057090703,43647
385,13057090704,69250
386,13057090705,116424
387,13057090706,136871
388,13057090707,85684
389,13057090708,127365
390,13057090709,-
391,13057090710,100893
392,13057090805,73932
393,13057090806,102905
394,13057090807,118631
395,13057090808,124563
396,13057090809,91722
397,13057090810,139048
398,13057090905,75660
399,13057090906,110388
400,13057090907,86706
401,13057090908,99680
402,13057090909,92591
403,13057090910,116458
404,13057090911,109583
405,13057090912,87463
406,13057091001,65135
407,13057091006,123615
408,13057091007,116523
409,13057091009,96119
410,13057091010,127174
411,13057091011,78436
412,13057091012,70221
413,13057091013,81159
414,13057091014,74068
415,13057091101,94299
416,13057091104,101361
417,13057091105,64471
418,13057091106,99091
419,13057091107,60514
420,13057091108,94966
421,13059000100,10313
422,13059000401,35313
423,13059000402,9177
424,13059000600,28917
425,13059000900,17450
426,13059001200,81250
427,13059001700,51310
428,13059001800,53583
429,13059001900,49973
430,13059002000,65759
431,13059002100,32368
432,13059002200,54601
433,13059030101,15879
434,13059030102,34063
435,13059030200,27011
436,13059130300,46953
437,13059130400,59211
438,13059130500,63726
439,13059130601,46264
440,13059130602,32269
441,13059130701,56229
442,13059130702,72174
443,13059140300,34666
444,13059140400,39812
445,13059140500,19688
446,13059140600,65113
447,13059150300,45313
448,13059150400,28612
449,13059150500,33865
450,13059150600,41649
451,13059150701,42332
452,13059150702,73125
453,13059150800,86622
454,13059150900,76528
455,13061960300,35893
456,13063040202,36408
457,13063040203,44422
458,13063040204,44865
459,13063040302,38385
460,13063040306,36941
461,13063040307,53076
462,13063040308,26386
463,13063040309,40208
464,13063040310,45365
465,13063040407,54821
466,13063040409,53811
467,13063040410,48828
468,13063040414,46414
469,13063040416,58656
470,13063040417,45919
471,13063040418,103145
472,13063040419,45453
473,13063040420,61931
474,13063040421,66158
475,13063040422,33720
476,13063040423,47947
477,13063040424,70875
478,13063040425,42061
479,13063040426,64837
480,13063040427,57527
481,13063040509,55857
482,13063040510,68390
483,13063040512,48409
484,13063040513,46655
485,13063040518,42708
486,13063040519,30739
487,13063040521,55556
488,13063040522,43770
489,13063040523,43214
490,13063040525,45795
491,13063040527,53750
492,13063040528,45422
493,13063040529,56141
494,13063040530,56050
495,13063040531,39485
496,13063040532,57451
497,13063040533,51025
498,13063040534,50188
499,13063040535,62286
500,13063040536,54115
501,13063040537,63324
502,13063040538,52719
503,13063040606,48042
504,13063040609,75233
505,13063040614,104010
506,13063040615,57109
507,13063040617,35726
508,13063040623,50693
509,13063040624,61316
510,13063040625,70377
511,13063040626,68132
512,13063040627,72648
513,13063040628,102292
514,13063040629,42031
515,13063040630,45049
516,13063040631,79958
517,13063040632,45812
518,13063040633,43530
519,13063040634,24792
520,13063040635,43006
521,13063040636,103732
522,13063040637,55274
523,13063040638,72487
524,13063040639,93563
525,13063980000,-
526,13065970100,45952
527,13065970200,51950
528,13067030104,53675
529,13067030107,117973
530,13067030108,79401
531,13067030109,78618
532,13067030110,83147
533,13067030111,76047
534,13067030112,67997
535,13067030113,75398
536,13067030220,79817
537,13067030233,106694
538,13067030235,113563
539,13067030236,161477
540,13067030240,93323
541,13067030241,120870
542,13067030242,100417
543,13067030243,80822
544,13067030244,128333
545,13067030245,108750
546,13067030246,57827
547,13067030247,53038
548,13067030248,70232
549,13067030249,57309
550,13067030250,121189
551,13067030251,113333
552,13067030252,145574
553,13067030253,105921
554,13067030254,70402
555,13067030255,67596
556,13067030256,163995
557,13067030257,66964
558,13067030258,74524
559,13067030259,82740
560,13067030260,78833
561,13067030261,129701
562,13067030262,135000
563,13067030263,94117
564,13067030264,152750
565,13067030265,161503
566,13067030266,106575
567,13067030267,150962
568,13067030268,128672
569,13067030269,96211
570,13067030270,90745
571,13067030271,119111
572,13067030272,95556
573,13067030273,118269
574,13067030274,86848
575,13067030275,70264
576,13067030276,135526
577,13067030277,127868
578,13067030278,77607
579,13067030319,107652
580,13067030322,120125
581,13067030324,117708
582,13067030326,157321
583,13067030327,120417
584,13067030329,121953
585,13067030331,152813
586,13067030332,116750
587,13067030334,106389
588,13067030335,159286
589,13067030337,168868
590,13067030340,150855
591,13067030341,133013
592,13067030342,148029
593,13067030343,160769
594,13067030344,50927
595,13067030345,78458
596,13067030346,75156
597,13067030347,101389
598,13067030348,111932
599,13067030349,66269
600,13067030350,108363
601,13067030351,210126
602,13067030352,124688
603,13067030353,84792
604,13067030354,110833
605,13067030355,84013
606,13067030356,89747
607,13067030357,148750
608,13067030358,115625
609,13067030359,151557
610,13067030360,170536
611,13067030361,95682
612,13067030362,99869
613,13067030363,78864
614,13067030364,95000
615,13067030365,152738
616,13067030366,201553
617,13067030367,195417
618,13067030368,141167
619,13067030369,184598
620,13067030370,209044
621,13067030405,61295
622,13067030407,89167
623,13067030408,97448
624,13067030409,119110
625,13067030410,64613
626,13067030411,42866
627,13067030412,46813
628,13067030413,52022
629,13067030414,40527
630,13067030505,55431
631,13067030506,65188
632,13067030507,118836
633,13067030508,78773
634,13067030509,126972
635,13067030510,115693
636,13067030511,95434
637,13067030602,100455
638,13067030603,85882
639,13067030604,52050
640,13067030700,45583
641,13067030800,63638
642,13067030906,84547
643,13067030907,105614
