,2020 Census Tract,Jobs Proximity Index
0,13001950100,0.5632638454000388
1,13001950201,0.5770322668884809
2,13001950202,0.5742403250266889
3,13001950301,0.5835603857896801
4,13001950302,0.5798619400439835
5,13001950400,0.5015627610588845
6,13001950500,0.5718804574127546
7,13003960100,0.6027402063075977
8,13003960200,0.6048832361299727
9,13003960300,0.5863432986535934
10,13005970100,0.5661330001276205
11,13005970201,0.5693831321654109
12,13005970202,0.5676656235938776
13,13007960100,0.6137326818011636
14,13007960200,0.6123881036680474
15,13009970101,0.5838668521325003
16,13009970102,0.6051434812416345
17,13009970201,0.7075992629685799
18,13009970202,0.6478557046572279
19,13009970301,0.6466852233759334
20,13009970302,0.6363631627507758
21,13009970400,0.6040726180718481
22,13009970501,0.7405747639520134
23,13009970502,0.59556412614949
24,13009970600,0.6395502772742413
25,13009970701,0.5950030286753683
26,13009970702,0.5900929807827223
27,13009970801,0.588171234020213
28,13009970802,0.5630753096278387
29,13011970100,0.59639662210941
30,13011970200,0.6217661204278018
31,13011970300,0.6528256613922703
32,13011970400,0.6032619486673564
33,13013180103,0.5490439972372321
34,13013180104,0.5424296392835161
35,13013180105,0.545663119432459
36,13013180106,0.5367544277692482
37,13013180107,0.5520745045583606
38,13013180108,0.5439683757098661
39,13013180203,0.5684496712808292
40,13013180204,0.5434047738973542
41,13013180205,0.5499096819384267
42,13013180206,0.5420813930296035
43,13013180301,0.5277699416895701
44,13013180302,0.5560885502974175
45,13013180303,0.5643358857340405
46,13013180401,0.5412112330620749
47,13013180402,0.5320374291290624
48,13013180501,0.5565146256590825
49,13013180502,0.5534544734752923
50,13013180503,0.5501895345782072
51,13015960101,0.6010395622166723
52,13015960103,0.6075634303153823
53,13015960104,0.5881862727988945
54,13015960105,0.5962996865619661
55,13015960201,0.5908776630428068
56,13015960202,0.570417685231971
57,13015960203,0.5910098992611981
58,13015960301,0.572793375742367
59,13015960302,0.5660221943042026
60,13015960403,0.5821479989473725
61,13015960404,0.5738837658147009
62,13015960405,0.6179581152002844
63,13015960406,0.5765472165624844
