,2020 Census Tract,Environmental Health Index
0,13001950100,0.8166189111747851
1,13001950201,0.8089780324737345
2,13001950202,0.7048710601719198
3,13001950301,0.66189111747851
4,13001950302,0.6542502387774594
5,13001950400,0.8424068767908309
6,13001950500,0.8481375358166189
7,13003960100,0.7621776504297995
8,13003960200,0.7612225405921682
9,13003960300,0.8042024832855779
10,13005970100,0.8166189111747851
11,13005970201,0.7249283667621776
12,13005970202,0.7287488061127029
13,13007960100,0.7497612225405922
14,13007960200,0.8099331423113658
15,13009970101,0.6905444126074498
16,13009970102,0.6532951289398281
17,13009970201,0.4937917860553964
18,13009970202,0.6208213944603629
19,13009970301,0.6934097421203438
20,13009970302,0.5128939828080229
21,13009970400,0.34861509073543456
22,13009970501,0.33142311365807064
23,13009970502,0.5348615090735435
24,13009970600,0.4584527220630373
25,13009970701,0.40305635148042024
26,13009970702,0.49283667621776506
27,13009970801,0.7153772683858645
28,13009970802,0.6208213944603629
29,13011970100,0.6303724928366762
30,13011970200,0.7029608404966571
31,13011970300,0.670487106017192
32,13011970400,0.6790830945558739
33,13013180103,0.6055396370582617
34,13013180104,0.4794651384909265
35,13013180105,0.5969436485195798
36,13013180106,0.5272206303724928
37,13013180107,0.45558739255014324
38,13013180108,0.48424068767908307
39,13013180203,0.45463228271251194
40,13013180204,0.4049665711556829
41,13013180205,0.3839541547277937
42,13013180206,0.4087870105062082
43,13013180301,0.501432664756447
44,13013180302,0.6150907354345749
45,13013180303,0.5224450811843362
46,13013180401,0.6638013371537728
47,13013180402,0.5510983763132761
48,13013180501,0.5444126074498568
49,13013180502,0.49474689589302767
50,13013180503,0.5501432664756447
51,13015960101,0.7373447946513848
52,13015960103,0.6160458452722063
53,13015960104,0.6790830945558739
54,13015960105,0.5444126074498568
55,13015960201,0.5730659025787965
56,13015960202,0.5491881566380133
57,13015960203,0.6380133715377269
58,13015960301,0.5931232091690545
59,13015960302,0.5883476599808979
60,13015960403,0.39255014326647564
61,13015960404,0.40210124164278893
62,13015960405,0.3734479465138491
63,13015960406,0.34765998089780326
64,13015960407,0.38968481375358166
65,13015960501,0.32664756446991405
66,13015960502,0.3744030563514804
67,13015960601,0.3390639923591213
68,13015960602,0.27316141356255974
69,13015960701,0.2760267430754537
70,13015960702,0.4135625596943649
71,13015960801,0.5234001910219676
72,13015960802,0.43361986628462273
73,13015960804,0.43648519579751677
74,13015960805,0.35816618911174786
75,13015960901,0.40210124164278893
76,13015960902,0.4565425023877746
77,13015961001,0.5482330468003821
78,13015961002,0.5854823304680038
79,13017960100,0.787010506208214
80,13017960200,0.8290353390639923
81,13017960300,0.6427889207258835
82,13017960400,0.5854823304680038
83,13017960501,0.6351480420248329
84,13017960502,0.5721107927411652
85,13019970100,0.7659980897803247
86,13019970200,0.7784145176695321
87,13019970300,0.7048710601719198
88,13019970400,0.6857688634192932
89,13019970500,0.7230181470869149
90,13019970600,0.7459407831900668
91,13021010100,0.1680993314231137
92,13021010200,0.17000955109837626
93,13021010400,0.15472779369627507
94,13021010500,0.2196752626552054
95,13021010800,0.1518624641833811
96,13021011001,0.19197707736389685
97,13021011002,0.393505253104107
98,13021011100,0.21394460362941745
99,13021011500,0.14040114613180515
100,13021011701,0.3753581661891118
101,13021011702,0.35339063992359127
102,13021011800,0.2301814708691499
103,13021011900,0.19006685768863413
104,13021012000,0.21012416427889202
105,13021012101,0.28844317096466093
106,13021012102,0.3037249283667622
107,13021012200,0.25883476599808974
108,13021012400,0.28175740210124167
109,13021012500,0.20630372492836677
110,13021012600,0.17669531996179566
111,13021012700,0.13371537726838592
112,13021012800,0.17860553963705822
113,13021012900,0.18051575931232092
114,13021013101,0.2932187201528176
115,13021013102,0.3543457497612225
116,13021013201,0.34861509073543456
117,13021013202,0.33333333333333337
118,13021013302,0.3075453677172875
119,13021013407,0.3256924546322827
120,13021013408,0.4049665711556829
121,13021013409,0.47564469914040114
122,13021013411,0.3820439350525311
123,13021013412,0.4106972301814709
124,13021013413,0.4259789875835721
125,13021013502,0.2693409742120344
126,13021013503,0.29608404966571156
127,13021013505,0.3123209169054441
128,13021013506,0.3256924546322827
129,13021013603,0.3667621776504298
130,13021013604,0.5940783190066858
131,13021013605,0.5253104106972302
132,13021013607,0.559694364851958
133,13021013608,0.5100286532951289
134,13021013701,0.1174785100286533
135,13021013702,0.14804202483285583
136,13021013800,0.15854823304680032
137,13021013900,0.18051575931232092
138,13021014000,0.17574021012416421
139,13023790100,0.7306590257879656
140,13023790200,0.6179560649474689
141,13023790301,0.6800382043935052
142,13023790302,0.7707736389684814
143,13025960101,0.7803247373447946
144,13025960102,0.8290353390639923
145,13025960201,0.8452722063037249
146,13025960202,0.7946513849092645
147,13025960300,0.7975167144221585
148,13027960200,0.8204393505253104
149,13027960301,0.7669531996179562
150,13027960302,0.6962750716332379
151,13027960400,0.667621776504298
152,13027960500,0.6427889207258835
153,13027960600,0.7545367717287488
154,13029920101,0.7354345749761223
155,13029920103,0.8108882521489972
156,13029920104,0.7784145176695321
157,13029920301,0.6590257879656161
158,13029920303,0.5998089780324738
159,13029920305,0.6580706781279848
160,13029920307,0.7411652340019103
161,13029920308,0.6953199617956065
162,13029980000,0.9967253376995496
163,13031110100,0.8233046800382043
164,13031110201,0.7736389684813754
165,13031110202,0.6790830945558739
166,13031110301,0.7879656160458453
167,13031110302,0.7067812798471825
168,13031110401,0.6236867239732569
169,13031110405,0.6800382043935052
170,13031110406,0.6876790830945558
171,13031110407,0.6532951289398281
172,13031110408,0.6857688634192932
173,13031110500,0.5931232091690545
