,2020 Census Tract,Transit Access Index
0,13001950100,0.4774995909016527
1,13001950201,0.4824496809032891
2,13001950202,0.6015382097856324
3,13001950301,0.4871134020618556
4,13001950302,0.5631238749795451
5,13001950400,0.369497627229586
6,13001950500,0.5034773359515627
7,13003960100,0.5407871052200949
8,13003960200,0.49185894288987075
9,13003960300,0.453403698249059
10,13005970100,0.40729831451480936
11,13005970201,0.5191458026509572
12,13005970202,0.5236458844706267
13,13007960100,0.4708312878415971
14,13007960200,0.49185894288987075
15,13009970101,0.5130911471117656
16,13009970102,0.4658402880052364
17,13009970201,0.5778514154802814
18,13009970202,0.47504500081819667
19,13009970301,0.46326296841760756
20,13009970302,0.5815333006054655
21,13009970400,0.6266159384716086
22,13009970501,0.6740304369170349
23,13009970502,0.5079365079365079
24,13009970600,0.6057928325969563
25,13009970701,0.6409752904598265
26,13009970702,0.41552119129438714
27,13009970801,0.5081410571101292
28,13009970802,0.5209867452135494
29,13011970100,0.46878579610538373
30,13011970200,0.46449026345933564
31,13011970300,0.5222549500900016
32,13011970400,0.5091638029782359
33,13013180103,0.5453690067092128
34,13013180104,0.5348551791850761
35,13013180105,0.54217803960072
36,13013180106,0.5187367043037147
37,13013180107,0.47987236131566025
38,13013180108,0.48739977090492553
39,13013180203,0.6230976926853216
40,13013180204,0.5788741613483881
41,13013180205,0.5842333496972671
42,13013180206,0.5335460644738995
43,13013180301,0.5604238258877434
44,13013180302,0.5795287187039764
45,13013180303,0.5121093110783832
46,13013180401,0.4949271804941908
47,13013180402,0.5630011454753723
48,13013180501,0.5121093110783832
49,13013180502,0.5166093928980526
50,13013180503,0.5518327605956472
51,13015960101,0.48997709049255445
52,13015960103,0.5275732286041563
53,13015960104,0.5898379970544918
54,13015960105,0.5458190148911799
55,13015960201,0.5724513172966781
56,13015960202,0.6278432335133366
57,13015960203,0.588774341351661
58,13015960301,0.4820405825560465
59,13015960302,0.5595647193585338
60,13015960403,0.6724758631975127
61,13015960404,0.5739240713467517
62,13015960405,0.5440598919980363
63,13015960406,0.6585665193912615
64,13015960407,0.5967108492881689
65,13015960501,0.6084928816887579
66,13015960502,0.5642693503518246
67,13015960601,0.654025527736868
68,13015960602,0.6696939944362624
69,13015960701,0.7164948453608246
70,13015960702,0.6102110947471773
71,13015960801,0.5651284568810342
72,13015960802,0.639829815087547
73,13015960804,0.5664375715922108
74,13015960805,0.6428571428571428
75,13015960901,0.5904925544100802
76,13015960902,0.5509736540664376
77,13015961001,0.555923744068074
78,13015961002,0.4858861070201276
79,13017960100,0.4427671412207494
80,13017960200,0.49537718867615776
81,13017960300,0.5546146293568974
82,13017960400,0.6116838487972508
83,13017960501,0.47471772214040253
84,13017960502,0.5951562755686466
85,13019970100,0.5049500900016364
86,13019970200,0.473572246768123
87,13019970300,0.5240140729831451
88,13019970400,0.5659057437407953
89,13019970500,0.5639829815087547
90,13019970600,0.5107183766977581
91,13021010100,0.7212403861888397
92,13021010200,0.736090656193749
93,13021010400,0.6315251186385207
94,13021010500,0.7498363606611029
95,13021010800,0.6913762068401244
96,13021011001,0.6566437571592211
97,13021011002,0.6233431516936672
98,13021011100,0.6351660939289805
99,13021011500,0.6660530191458027
100,13021011701,0.6163066601210931
101,13021011702,0.5892652593683521
102,13021011800,0.6515300278186876
103,13021011900,0.572901325478645
104,13021012000,0.5862788414334805
105,13021012101,0.6137293405334642
106,13021012102,0.6377843233513336
107,13021012200,0.6167157584683358
108,13021012400,0.6381934216985763
109,13021012500,0.6504254622811323
110,13021012600,0.6515300278186876
111,13021012700,0.6920716740304369
112,13021012800,0.6710440189821634
113,13021012900,0.6186385207003764
114,13021013101,0.560669284896089
115,13021013102,0.6053837342497136
116,13021013201,0.5653739158893798
117,13021013202,0.6547209949271804
118,13021013302,0.5802650957290132
119,13021013407,0.6302569137620684
120,13021013408,0.5985108820160365
121,13021013409,0.5435280641466208
122,13021013411,0.644411716576665
123,13021013412,0.5875470463099329
124,13021013413,0.5776468663066601
125,13021013502,0.5400916380297823
126,13021013503,0.6232204221894944
127,13021013505,0.56480117820324
128,13021013506,0.5717149402716413
129,13021013603,0.5620193094419899
130,13021013604,0.48580428735067904
131,13021013605,0.5667239404352806
132,13021013607,0.5126411389297987
133,13021013608,0.5802650957290132
134,13021013701,0.7826460481099655
135,13021013702,0.722344951726395
136,13021013800,0.6800441826215022
137,13021013900,0.635861561119293
138,13021014000,0.642284405171003
139,13023790100,0.5330551464572083
140,13023790200,0.584519718540337
141,13023790301,0.6225249549991818
142,13023790302,0.46236295205367367
143,13025960101,0.5052773686794305
144,13025960102,0.46768123056782845
145,13025960201,0.5181639666175748
146,13025960202,0.42664866633938797
147,13025960300,0.5656193748977254
148,13027960200,0.46412207494681723
149,13027960301,0.4574537718867615
150,13027960302,0.5789968908525609
151,13027960400,0.5542873506791033
152,13027960500,0.6365161184748813
153,13027960600,0.47807232858779247
154,13029920101,0.47025855015545737
155,13029920103,0.5282277859597447
156,13029920104,0.5114956635575192
157,13029920301,0.5604647357224677
158,13029920303,0.5666421207658321
159,13029920305,0.5615283914252986
160,13029920307,0.4844542628047782
161,13029920308,0.5393961708394698
162,13029980000,-
163,13031110100,0.4917771232204221
164,13031110201,0.520332187857961
165,13031110202,0.5929062346588119
166,13031110301,0.5332187857961054
167,13031110302,0.6199885452462772
168,13031110401,0.6577074128620519
169,13031110405,0.6628620520373097
170,13031110406,0.7373588610702013
171,13031110407,0.7527818687612502
172,13031110408,0.7433726067746687
173,13031110500,0.6446162657502864
174,13031110602,0.6087792505318278
