2020 Census Tract,geoid_,County Name,% of rental units occupied by 80% AMI and below with Severe Housing Problems,Average: YoY Growth 2018-2021,Is 2021 greater than 2011?,Average change: 2020-2022
13015960501,05000US13133,"Greene County, Georgia",42.63565891472868,2.8365988397528463,Yes,2.1999999999999997
13015960502,05000US13135,"Gwinnett County, Georgia",60,1.6799166535327414,Yes,3.9500000000000006
13015960601,05000US13137,"Habersham County, Georgia",33.980582524271846,1.1005284537564455,Yes,1.2
13015960602,05000US13139,"Hall County, Georgia",38.94736842105263,0.9690708038401795,Yes,3.4000000000000004
13015960701,05000US13141,"Hancock County, Georgia",33.67346939,0.45924878113381096,No,1.4000000000000001
13015960702,05000US13143,"Haralson County, Georgia",0,0.8331855811195424,Yes,3.9500000000000006
13015960801,05000US13145,"Harris County, Georgia",84.31372549019608,0.7230845629236603,Yes,0.7000000000000001
13015960802,05000US13147,"Hart County, Georgia",35.55555555555556,0.23173051349002532,Yes,4.5
13015960804,05000US13149,"Heard County, Georgia",28.57142857142857,-0.668221546,No,3.8500000000000005
13015960805,05000US13151,"Henry County, Georgia",18,2.255477631712885,Yes,3.900000000000001
13015960901,05000US13153,"Houston County, Georgia",27.857142857142858,2.051734433735591,Yes,1.15
13015960902,05000US13155,"Irwin County, Georgia",43.103448275862064,1.2367924296908772,No,1.45
13015961001,05000US13157,"Jackson County, Georgia",0,3.9426690677170813,Yes,8.4
13015961002,05000US13159,"Jasper County, Georgia",9.743589743589745,1.654519064001306,Yes,3.8500000000000005
13017960100,05000US13161,"Jeff Davis County, Georgia",25,-0.526091276,No,0.7500000000000001
13017960200,05000US13163,"Jefferson County, Georgia",33.89830508474576,-0.12949243,No,0.95
13017960300,05000US13165,"Jenkins County, Georgia",30.097087378640776,-0.507726691,Yes,3.05
13017960400,05000US13167,"Johnson County, Georgia",24.46043165467626,-1.570711597,No,0.9999999999999999
13017960501,05000US13169,"Jones County, Georgia",16.666666666666664,-0.292147004,No,0.49999999999999994
13017960502,05000US13171,"Lamar County, Georgia",12.380952380952381,-0.047498399,Yes,4
13019970100,05000US13173,"Lanier County, Georgia",17.272727272727273,-1.548915657,Yes,0.5499999999999999
13019970200,05000US13175,"Laurens County, Georgia",25.08474576271186,1.2544678784488805,Yes,1.0499999999999998
13019970300,05000US13177,"Lee County, Georgia",10.909090909090908,3.5904612016808937,Yes,0.65
13019970400,05000US13179,"Liberty County, Georgia",29.87012987012987,1.2006446173101877,Yes,2.25
13019970500,05000US13181,"Lincoln County, Georgia",61.111111111111114,-0.468203402,No,0.8500000000000001
13019970600,05000US13183,"Long County, Georgia",27.659574468085108,-2.963686313,Yes,2.3
13021010100,05000US13185,"Lowndes County, Georgia",41.284403669724774,0.823804369,Yes,0.4
13021010200,05000US13187,"Lumpkin County, Georgia",47.78761061946903,1.2757179719303264,Yes,7.1
13021010400,05000US13189,"Macon County, Georgia",48.214285714285715,-2.904837312,No,0.35
13021010500,05000US13191,"Madison County, Georgia",25,1.147277090636537,Yes,1.5000000000000002
13021010800,05000US13193,"Marion County, Georgia",45.39007092198582,-3.632162456,No,0.75
13021011001,05000US13195,"McDuffie County, Georgia",45.68527918781726,0.3571127639263753,No,0.8500000000000001
13021011002,05000US13197,"McIntosh County, Georgia",24.489795918367346,-6.63172865,No,3.45
13021011100,05000US13199,"Meriwether County, Georgia",48.64864864864865,-0.717832116,No,3.9
13021011500,05000US13201,"Miller County, Georgia",52.94117647058824,0.8710114783461266,No,2.4
13021011701,05000US13205,"Mitchell County, Georgia",48.148148148148145,-0.736457812,No,0.8999999999999999
13021011702,05000US13207,"Monroe County, Georgia",53.246753246753244,0.9963224611382848,Yes,0.6
13021011800,05000US13209,"Montgomery County, Georgia",31.147540983606557,-1.230956358,No,1.05
13021011900,05000US13211,"Morgan County, Georgia",39.0625,2.608348153,Yes,3.85
13021012000,05000US13213,"Murray County, Georgia",0,0.24888437026646948,Yes,1.7000000000000002
13021012101,05000US13215,"Muscogee County, Georgia",47.82608695652174,1.3138423210095067,Yes,0.65
13021012102,05000US13217,"Newton County, Georgia",39.75903614457831,1.469815624763786,Yes,3.900000000000001
13021012200,05000US13219,"Oconee County, Georgia",45.45454545454545,3.473449527488579,Yes,1.5000000000000002
13021012400,05000US13221,"Oglethorpe County, Georgia",59.863945578231295,-0.003676459,Yes,1.35
13021012500,05000US13223,"Paulding County, Georgia",66.16541353383458,2.0678608421796474,Yes,3.900000000000001
13021012600,05000US13225,"Peach County, Georgia",36.69724770642202,1.0475033096796966,Yes,1.2
13021012700,05000US13227,"Pickens County, Georgia",49.31506849315068,2.0989430680528973,Yes,3.95
13021012800,05000US13229,"Pierce County, Georgia",26.666666666666668,0.8294650250029454,Yes,3.0500000000000003
13021012900,05000US13231,"Pike County, Georgia",42.857142857142854,1.2238712522458473,Yes,3.9500000000000006
13021013101,05000US13233,"Polk County, Georgia",46.21212121212121,0.8505925045325506,Yes,2.0500000000000003
13021013102,05000US13235,"Pulaski County, Georgia",41,-3.853807039,No,1.25
13021013201,05000US13237,"Putnam County, Georgia",37.31343284,0.567050859,Yes,4.300000000000001
13021013202,05000US13239,"Quitman County, Georgia",33.94495412844037,-0.39184277,No,-3.45
13021013302,05000US13241,"Rabun County, Georgia",26.666666666666668,0.5562680037732858,Yes,4.8
13021013407,05000US13243,"Randolph County, Georgia",41.17647058823529,-2.805665835,No,-0.85
