lat,lon,desirable_score,total_deductions,overall_score,final_score
30.4,-83.34000000000044,1.0,0,1.0,1.0
30.4,-83.32000000000045,0.0,0,0,0
30.4,-83.30000000000045,3.0,0,3.0,3.0
30.4,-83.28000000000046,1.0,0,1.0,1.0
30.4,-83.26000000000046,1.5,0,1.5,1.5
30.4,-83.24000000000046,0.0,0,0,0
30.4,-83.22000000000047,0.0,0,0,0
30.4,-83.20000000000047,2.0,0,2.0,2.0
30.4,-83.18000000000048,2.0,0,2.0,2.0
30.4,-83.16000000000048,2.0,0,2.0,2.0
30.4,-83.14000000000048,2.0,0,2.0,2.0
30.4,-83.12000000000049,0.0,0,0,0
30.4,-83.10000000000049,0.0,0,0,0
30.4,-83.0800000000005,1.0,0,1.0,1.0
30.4,-83.0600000000005,2.0,0,2.0,2.0
30.4,-83.0400000000005,0.0,0,0,0
30.4,-83.02000000000051,0.0,0,0,0
30.4,-83.00000000000051,0.0,0,0,0
30.4,-82.98000000000052,1.5,0,1.5,1.5
30.4,-82.96000000000052,6.5,0,6.5,6.5
30.4,-82.94000000000052,6.5,0,6.5,6.5
30.4,-82.92000000000053,7.0,0,7.0,7.0
30.4,-82.90000000000053,4.0,0,4.0,4.0
30.4,-82.88000000000054,4.5,0,4.5,4.5
30.4,-82.86000000000054,2.0,0,2.0,2.0
30.4,-82.84000000000054,1.0,0,1.0,1.0
30.4,-82.82000000000055,0.0,0,0,0
30.4,-82.80000000000055,3.5,0,3.5,3.5
30.4,-82.78000000000056,2.5,0,2.5,2.5
30.4,-82.76000000000056,2.5,0,2.5,2.5
30.4,-82.74000000000056,2.5,0,2.5,2.5
30.4,-82.72000000000057,0.0,0,0,0
30.4,-82.70000000000057,1.0,0,1.0,1.0
30.4,-82.68000000000058,0.0,0,0,0
30.4,-82.66000000000058,0.0,0,0,0
30.4,-82.64000000000058,0.0,0,0,0
30.4,-82.62000000000059,0.0,0,0,0
30.4,-82.60000000000059,0.0,0,0,0
30.4,-82.5800000000006,0.0,0,0,0
30.4,-82.5600000000006,0.0,0,0,0
30.4,-82.5400000000006,0.0,0,0,0
30.4,-82.5200000000006,0.0,0,0,0
30.4,-82.50000000000061,0.0,0,0,0
30.4,-82.48000000000062,0.0,0,0,0
30.4,-82.46000000000062,0.0,0,0,0
30.4,-82.44000000000062,1.5,0,1.5,1.5
30.4,-82.42000000000063,0.0,0,0,0
30.4,-82.40000000000063,0.0,0,0,0
30.4,-82.38000000000063,0.0,0,0,0
30.4,-82.36000000000064,0.0,0,0,0
30.4,-82.34000000000064,0.0,0,0,0
30.4,-82.32000000000065,0.0,0,0,0
30.4,-82.30000000000065,0.0,0,0,0
30.4,-82.28000000000065,0.0,0,0,0
30.4,-82.26000000000066,0.0,0,0,0
30.4,-82.24000000000066,1.5,0,1.5,1.5
30.4,-82.22000000000067,1.5,0,1.5,1.5
30.4,-82.20000000000067,0.0,0,0,0
30.4,-82.18000000000067,0.0,0,0,0
30.4,-82.16000000000068,0.0,0,0,0
30.4,-82.14000000000068,1.0,0,1.0,1.0
30.4,-82.12000000000069,2.0,0,2.0,2.0
30.4,-82.10000000000069,0.0,0,0,0
30.4,-82.0800000000007,0.0,0,0,0
30.4,-82.0600000000007,0.0,0,0,0
30.4,-82.0400000000007,0.0,0,0,0
30.4,-82.0200000000007,0.0,0,0,0
30.4,-82.00000000000071,0.0,0,0,0
30.4,-81.98000000000071,0.0,0,0,0
30.4,-81.96000000000072,0.0,0,0,0
30.4,-81.94000000000072,11.5,0,11.5,11.5
30.4,-81.92000000000073,6.5,0,6.5,6.5
30.4,-81.90000000000073,2.0,0,2.0,2.0
30.4,-81.88000000000073,2.0,0,2.0,2.0
30.4,-81.86000000000074,1.5,0,1.5,1.5
30.4,-81.84000000000074,2.0,0,2.0,2.0
30.4,-81.82000000000075,1.5,0,1.5,1.5
30.4,-81.80000000000075,1.5,0,1.5,1.5
30.4,-81.78000000000075,2.5,0,2.5,2.5
30.4,-81.76000000000076,3.0,0,3.0,3.0
30.4,-81.74000000000076,13.5,2,11.5,11.5
30.4,-81.72000000000077,13.5,0,13.5,13.5
30.4,-81.70000000000077,16.0,0,16.0,16.0
30.4,-81.68000000000077,22.0,0,22.0,20
30.4,-81.66000000000078,7.5,0,7.5,7.5
30.4,-81.64000000000078,6.5,0,6.5,6.5
30.4,-81.62000000000079,4.5,0,4.5,4.5
