lat,lon,use_nearby_tract,use_only_actual_tract,best_score
30.4,-85.6,0.0,0.0,0.0
30.4,-85.55,0.0,0.0,0.0
30.4,-85.5,0.0,0.0,0.0
30.4,-85.45,0.0,0.0,0.0
30.4,-85.4,0.0,0.0,0.0
30.4,-85.35000000000001,0.0,0.0,0.0
30.4,-85.30000000000001,0.0,0.0,0.0
30.4,-85.25000000000001,0.0,0.0,0.0
30.4,-85.20000000000002,0.0,0.0,0.0
30.4,-85.15000000000002,0.0,0.0,0.0
30.4,-85.10000000000002,0.0,0.0,0.0
30.4,-85.05000000000003,0.0,0.0,0.0
30.4,-85.00000000000003,0.0,0.0,0.0
30.4,-84.95000000000003,0.0,0.0,0.0
30.4,-84.90000000000003,0.0,0.0,0.0
30.4,-84.85000000000004,0.0,0.0,0.0
30.4,-84.80000000000004,0.0,0.0,0.0
30.4,-84.75000000000004,0.0,0.0,0.0
30.4,-84.70000000000005,0.0,0.0,0.0
30.4,-84.65000000000005,0.0,0.0,0.0
30.4,-84.60000000000005,0.0,0.0,0.0
30.4,-84.55000000000005,0.0,0.0,0.0
30.4,-84.50000000000006,0.0,0.0,0.0
30.4,-84.45000000000006,0.0,0.0,0.0
30.4,-84.40000000000006,0.0,0.0,0.0
30.4,-84.35000000000007,0.0,0.0,0.0
30.4,-84.30000000000007,0.0,0.0,0.0
30.4,-84.25000000000007,0.0,0.0,0.0
30.4,-84.20000000000007,0.0,0.0,0.0
30.4,-84.15000000000008,0.0,0.0,0.0
30.4,-84.10000000000008,0.0,0.0,0.0
30.4,-84.05000000000008,0.0,0.0,0.0
30.4,-84.00000000000009,0.0,0.0,0.0
30.4,-83.95000000000009,0.0,0.0,0.0
30.4,-83.90000000000009,0.0,0.0,0.0
30.4,-83.8500000000001,0.0,0.0,0.0
30.4,-83.8000000000001,0.0,0.0,0.0
30.4,-83.7500000000001,0.0,0.0,0.0
30.4,-83.7000000000001,0.0,0.0,0.0
30.4,-83.6500000000001,0.0,0.0,0.0
30.4,-83.60000000000011,0.0,0.0,0.0
30.4,-83.55000000000011,0.0,0.0,0.0
30.4,-83.50000000000011,0.0,0.0,0.0
30.4,-83.45000000000012,0.0,0.0,0.0
30.4,-83.40000000000012,0.0,0.0,0.0
30.4,-83.35000000000012,0.0,0.0,0.0
30.4,-83.30000000000013,0.0,0.0,0.0
30.4,-83.25000000000013,0.0,0.0,0.0
30.4,-83.20000000000013,0.0,0.0,0.0
30.4,-83.15000000000013,0.0,0.0,0.0
30.4,-83.10000000000014,0.0,0.0,0.0
30.4,-83.05000000000014,0.0,0.0,0.0
30.4,-83.00000000000014,0.0,0.0,0.0
30.4,-82.95000000000014,0.0,0.0,0.0
30.4,-82.90000000000015,0.0,0.0,0.0
30.4,-82.85000000000015,0.0,0.0,0.0
30.4,-82.80000000000015,0.0,0.0,0.0
30.4,-82.75000000000016,0.0,0.0,0.0
30.4,-82.70000000000016,0.0,0.0,0.0
30.4,-82.65000000000016,0.0,0.0,0.0
30.4,-82.60000000000016,0.0,0.0,0.0
30.4,-82.55000000000017,0.0,0.0,0.0
30.4,-82.50000000000017,0.0,0.0,0.0
30.4,-82.45000000000017,0.0,0.0,0.0
30.4,-82.40000000000018,0.0,0.0,0.0
30.4,-82.35000000000018,0.0,0.0,0.0
30.4,-82.30000000000018,0.0,0.0,0.0
30.4,-82.25000000000018,0.0,0.0,0.0
30.4,-82.20000000000019,0.0,6.0,6.0
30.4,-82.15000000000019,0.0,6.0,6.0
30.4,-82.1000000000002,0.0,6.0,6.0
30.4,-82.0500000000002,0.0,6.0,6.0
30.4,-82.0000000000002,0.0,0.0,0.0
30.4,-81.9500000000002,0.0,0.0,0.0
30.4,-81.9000000000002,0.0,0.0,0.0
30.4,-81.85000000000021,0.0,0.0,0.0
30.4,-81.80000000000021,0.0,0.0,0.0
30.4,-81.75000000000021,0.0,0.0,0.0
30.4,-81.70000000000022,0.0,0.0,0.0
30.4,-81.65000000000022,0.0,0.0,0.0
30.4,-81.60000000000022,0.0,0.0,0.0
30.4,-81.55000000000022,0.0,0.0,0.0
30.4,-81.50000000000023,0.0,0.0,0.0
30.4,-81.45000000000023,0.0,0.0,0.0
30.4,-81.40000000000023,0.0,0.0,0.0
30.4,-81.35000000000024,0.0,0.0,0.0
30.4,-81.30000000000024,0.0,0.0,0.0
30.4,-81.25000000000024,0.0,0.0,0.0
30.4,-81.20000000000024,0.0,0.0,0.0
30.4,-81.15000000000025,0.0,0.0,0.0
30.4,-81.10000000000025,0.0,0.0,0.0
30.4,-81.05000000000025,0.0,0.0,0.0
30.4,-81.00000000000026,0.0,0.0,0.0
30.4,-80.95000000000026,0.0,0.0,0.0
30.4,-80.90000000000026,0.0,0.0,0.0
30.4,-80.85000000000026,0.0,0.0,0.0
30.45,-85.6,0.0,0.0,0.0
30.45,-85.55,0.0,0.0,0.0
30.45,-85.5,0.0,0.0,0.0
30.45,-85.45,0.0,0.0,0.0
30.45,-85.4,0.0,0.0,0.0
30.45,-85.35000000000001,0.0,0.0,0.0
30.45,-85.30000000000001,0.0,0.0,0.0
30.45,-85.25000000000001,0.0,0.0,0.0
30.45,-85.20000000000002,0.0,0.0,0.0
30.45,-85.15000000000002,0.0,0.0,0.0
30.45,-85.10000000000002,0.0,0.0,0.0
30.45,-85.05000000000003,0.0,0.0,0.0
30.45,-85.00000000000003,0.0,0.0,0.0
30.45,-84.95000000000003,0.0,0.0,0.0
30.45,-84.90000000000003,0.0,0.0,0.0
30.45,-84.85000000000004,0.0,0.0,0.0
30.45,-84.80000000000004,0.0,0.0,0.0
30.45,-84.75000000000004,0.0,0.0,0.0
30.45,-84.70000000000005,0.0,0.0,0.0
30.45,-84.65000000000005,0.0,0.0,0.0
30.45,-84.60000000000005,0.0,0.0,0.0
30.45,-84.55000000000005,0.0,0.0,0.0
30.45,-84.50000000000006,0.0,0.0,0.0
30.45,-84.45000000000006,0.0,0.0,0.0
30.45,-84.40000000000006,0.0,0.0,0.0
30.45,-84.35000000000007,0.0,0.0,0.0
30.45,-84.30000000000007,0.0,0.0,0.0
30.45,-84.25000000000007,0.0,0.0,0.0
30.45,-84.20000000000007,0.0,0.0,0.0
