lat,lon,google_type,,
33.720,-84.150,hospital,,
33.720,-84.150,doctor,,
33.720,-84.150,pharmacy,,
33.720,-84.150,university,,
33.720,-84.150,primary_school,,
33.720,-84.150,secondary_school,,
33.720,-84.150,city_hall,,
33.720,-84.150,courthouse,,
33.720,-84.150,park,,
33.720,-84.150,library,,
33.720,-84.150,fire_station,,
33.720,-84.150,police,,
33.720,-84.150,bank,,
33.720,-84.150,place_of_worship,,
33.720,-84.150,post_office,,
33.810,-84.850,department_store,,
33.810,-84.850,clothing_store,,
33.810,-84.850,home_goods_store,,
33.810,-84.850,grocery_or_supermarket,,
33.810,-84.850,supermarket,,
33.810,-84.850,restaurant,,
33.810,-84.850,hospital,,
33.810,-84.850,doctor,,
33.810,-84.850,pharmacy,,
33.810,-84.850,university,,
33.810,-84.850,primary_school,,
33.810,-84.850,secondary_school,,
33.810,-84.850,city_hall,,
33.810,-84.850,courthouse,,
33.810,-84.850,park,,
33.810,-84.850,library,,
33.810,-84.850,fire_station,,
33.810,-84.850,police,,
33.810,-84.850,bank,,
33.810,-84.850,place_of_worship,,
33.810,-84.850,post_office,,
33.810,-84.750,department_store,,
33.810,-84.750,clothing_store,,
33.810,-84.750,home_goods_store,,
33.810,-84.750,grocery_or_supermarket,,
33.810,-84.750,supermarket,,
33.810,-84.750,restaurant,,
33.810,-84.750,hospital,,
33.810,-84.750,doctor,,
33.810,-84.750,pharmacy,,
33.810,-84.750,university,,
33.810,-84.750,primary_school,,
33.810,-84.750,secondary_school,,
33.810,-84.750,city_hall,,
33.810,-84.750,courthouse,,
33.810,-84.750,park,,
33.810,-84.750,library,,
33.810,-84.750,fire_station,,
33.810,-84.750,police,,
33.810,-84.750,bank,,
33.810,-84.750,place_of_worship,,
33.810,-84.750,post_office,,
33.810,-84.650,department_store,,
33.810,-84.650,clothing_store,,
33.810,-84.650,home_goods_store,,
33.810,-84.650,grocery_or_supermarket,,
33.810,-84.650,supermarket,,
33.810,-84.650,restaurant,,
33.810,-84.650,hospital,,
33.810,-84.650,doctor,,
33.810,-84.650,pharmacy,,
33.810,-84.650,university,,
33.810,-84.650,primary_school,,
33.810,-84.650,secondary_school,,
33.810,-84.650,city_hall,,
33.810,-84.650,courthouse,,
33.810,-84.650,park,,
33.810,-84.650,library,,
33.810,-84.650,fire_station,,
33.810,-84.650,police,,
33.810,-84.650,bank,,
33.810,-84.650,place_of_worship,,
33.810,-84.650,post_office33.450,-84.85,department_store
33.450,-84.850,clothing_store,,
33.450,-84.850,home_goods_store,,
33.450,-84.850,grocery_or_supermarket,,
33.450,-84.850,supermarket,,
33.450,-84.850,restaurant,,
33.450,-84.850,hospital,,
33.450,-84.850,doctor,,
33.450,-84.850,pharmacy,,
33.450,-84.850,university,,
33.450,-84.850,primary_school,,
33.450,-84.850,secondary_school,,
33.450,-84.850,city_hall,,
33.450,-84.850,courthouse,,
33.450,-84.850,park,,
33.450,-84.850,library,,
33.450,-84.850,fire_station,,
33.450,-84.850,police,,
33.450,-84.850,bank,,
33.450,-84.850,place_of_worship,,
33.450,-84.850,post_office,,
33.450,-84.750,department_store,,
33.450,-84.750,clothing_store,,
33.450,-84.750,home_goods_store,,
33.450,-84.750,grocery_or_supermarket,,
33.450,-84.750,supermarket,,
33.450,-84.750,restaurant,,
33.450,-84.750,hospital,,
33.450,-84.750,doctor,,
33.450,-84.750,pharmacy,,
33.450,-84.750,university,,
33.450,-84.750,primary_school,,
33.450,-84.750,secondary_school,,
33.450,-84.750,city_hall,,
33.450,-84.750,courthouse,,
33.450,-84.750,park,,
33.450,-84.750,library,,
33.450,-84.750,fire_station,,
33.450,-84.750,police,,
33.450,-84.750,bank,,
33.450,-84.750,place_of_worship,,
33.450,-84.750,post_office,,
33.450,-84.650,department_store,,
33.450,-84.650,clothing_store,,
33.450,-84.650,home_goods_store,,
33.450,-84.650,grocery_or_supermarket,,
33.450,-84.650,supermarket,,
33.450,-84.650,restaurant,,
33.450,-84.650,hospital,,
33.450,-84.650,doctor,,
33.450,-84.650,pharmacy,,
33.450,-84.650,university,,
33.450,-84.650,primary_school,,
33.450,-84.650,secondary_school,,
33.450,-84.650,city_hall,,
33.450,-84.650,courthouse,,
33.450,-84.650,park,,
33.450,-84.650,library,,
33.450,-84.650,fire_station,,
33.450,-84.650,police,,
33.450,-84.650,bank,,
