ID_NUMBER,FACILITY_NAME,FULL_ENFORCEMENT,HREPORT_UNIVERSE_RECORD,STREET_ADDRESS,CITY_NAME,STATE_CODE,ZIP_CODE,LATITUDE83,LONGITUDE83,FED_WASTE_GENERATOR,ACTIVE_SITE,OPERATING_TSDF,NAICS_CODE
GAR000032961,THOMAS DUNN SERVICE CENTER,------,Other,2023 GORDON HWY,AUGUSTA,GA,30909,,,N  ,-----,------         ,81111
GAD049696792,TITAN METAL REFINISHING,------,VSQG,526 ATLANTA ST,MARIETTA,GA,30060,33.929969,-84.540582,3  ,H----,------         ,332813
GAD984280156,HOOVER TREATED WOOD PRODUCTS INC,------,SQG,266 WIRE ROAD,THOMSON,GA,30824,33.440664,-82.514812,2  ,H----,------         ,321114
GAD984280156,HOOVER TREATED WOOD PRODUCTS INC,------,SQG,266 WIRE ROAD,THOMSON,GA,30824,33.440664,-82.514812,2  ,H----,------         ,321999
GAR000039024,BRIGMAN & BRIGMAN CABINETS INC,------,Other,209 NORTH LOWNDES ST,HAHIRA,GA,31632,30.992901,-83.375524,N  ,-----,------         ,321918
GAR000033266,SHERWIN-WILLIAMS STORE #2067,------,VSQG,5517 PEACHTREE INDUSTRIAL BLVD,CHAMBLEE,GA,30341-2217,33.892081,-84.308962,3  ,H----,------         ,44412
GAD981282742,GINN MOTOR CO,------,SQG,8153 ACCESS ROAD,COVINGTON,GA,30209,33.612613,-83.900574,2  ,H----,------         ,441110
GAR000040667,SAVANNAH COLLEGE OF ART & DESIGN-ATLANTA,------,SQG,1600 PEACHTREE ST NW,ATLANTA,GA,30309,33.797854,-84.390316,2  ,H----,------         ,611610
GAR000002626,UNPAINT CORP THE,------,Other,89 MANGUM ST,ATLANTA,GA,30314,33.763594,-84.398044,N  ,-----,------         ,
GAR000058602,BIO-SOURCE INC,------,Other,4775 N ROYAL ATLANTA DR,TUCKER,GA,30084,,,N  ,-----,------         ,32311
GAD981469281,TRANSMONTAIGNE OPERATING COMPANY  LP (LOOKOUT MTN),------,VSQG,11 HIGHWAY 193,FLINTSTONE,GA,30725,,,3  ,H----,------         ,49319
GAD984322552,HARTS PAINT & BODY SHOP,------,VSQG,6491 HWY 84 W,QUITMAN,GA,31643,30.787657,-83.510207,3  ,H----,------         ,811121
GAD984296459,HAHIRA CITGO,------,Other,I-75 HAHIRA EXIT,HAHIRA,GA,31632,,,N  ,-----,------         ,
