SITE NAME,SITE ADDRESS LINE1,SITE CITY,SITE COUNTY / PARISH,SITE POSTAL CODE,SITE STATE,SITE LATITUDE,SITE LONGITUDE,SITE NAICS CODE 1
FERRO CORPORATION NORCROSS,6369 PEACHTREE ST,NORCROSS,GWINNETT COUNTY,30071,GA,33.929194,-84.237608,493110 General Warehousing And Storage
SYMRISE INC.,209 SCM RD,BRUNSWICK,GLYNN COUNTY,31523,GA,31.1080893,-81.5499256,325199 All Other Basic Organic Chemical Manufacturing
THE LEWIS CHEMICAL CO. (TLC CO),"8 NORTH SYCAMORE STREET, NW",ROME,FLOYD,30165,GA,34.269618,-85.20803,325613 Surface Active Agent Manufacturing
NYCO AMERICA LLC,87 AMLAJACK WAY,NEWNAN,COWETA COUNTY,30265,GA,33.41394,-84.7440861,325998 All Other Miscellaneous Chemical Product And Preparation Manufacturing
THE LEWIS CHEMICAL COMPANY,430 LAVENDER DR NW,ROME,FLOYD COUNTY,30165,GA,,,325613 Surface Active Agent Manufacturing
"CARGILL, INCORPORATED",216 BROOKHOLLOW INDUSTRIAL BOULEVARD,DALTON,WHITFIELD COUNTY,30721,GA,34.709477,-84.956694,325110 Petrochemical Manufacturing
TIARCO CHEMICAL DALTON,1300 TIARCO DR SW,DALTON,WHITFIELD COUNTY,30721,GA,34.68832,-84.99185,325199 All Other Basic Organic Chemical Manufacturing
CHEMTALL INC,CHEMICAL PLANT RD,RICEBORO,LIBERTY,31323,GA,31.74413,-81.43673,325998 All Other Miscellaneous Chemical Product And Preparation Manufacturing
"PEACH STATE LABS, LLC",1202 DOZIER ST,DALTON,WHITFIELD COUNTY,30721,GA,34.76966,-84.94902,325199 All Other Basic Organic Chemical Manufacturing
SNF INC.,1 CHEMICAL PLANT ROAD,RICEBORO,LIBERTY,31323,GA,31.74413,-81.43673,325998 All Other Miscellaneous Chemical Product And Preparation Manufacturing
KEMIRA CHEMICALS INC,1525 CHURCH STREET EXTENSION,MARIETTA,COBB COUNTY,30060-1023,GA,33.977973,-84.558388,325199 All Other Basic Organic Chemical Manufacturing
CAESARSTONE TECHNOLOGIES USA,1 CAESARSTONE DRIVE,RICHMOND HILL,BRYAN,31324,GA,31.875961,-81.350367,327991 Cut Stone And Stone Product Manufacturing
COMPASS CHEMICAL INTERNATIONAL LLC,5544 OAKDALE RD SE,SMYRNA,COBB COUNTY,30082,GA,33.818518,-84.50057,325180 Other Basic Inorganic Chemical Manufacturing
PEACH STATE LABS INC COLUMBUS,1136 CHUMAR STREET,COLUMBUS,MUSCOGEE COUNTY,31904-4926,GA,32.519129,-84.973933,325199 All Other Basic Organic Chemical Manufacturing
MFG CHEMICAL INC BROOKS ROAD,1200 BROOKS ROAD,DALTON,WHITFIELD COUNTY,30721-4748,GA,34.755764,-84.948498,325613 Surface Active Agent Manufacturing
"HOUGHTON INTERNATIONAL, INC.",421 GARRETT STREET,CARROLLTON,CARROLL COUNTY,30117-3956,GA,33.56941,-85.06799,324191 Petroleum Lubricating Oil And Grease Manufacturing
