SITE NAME,SITE ADDRESS LINE1,SITE CITY,SITE COUNTY / PARISH,SITE POSTAL CODE,SITE STATE,SITE LATITUDE,SITE LONGITUDE,SITE NAICS CODE 1
TROJAN BATTERY CO,5174 MINOLA DRIVE,LITHONIA,DE KALB,30038-2306,GA,33.7011,-84.17803,335911 Storage Battery Manufacturing
US BATTERY MANUFACTURING CO,1895 TOBACCO RD,AUGUSTA,RICHMOND,30906,GA,33.369643,-82.007822,335911 Storage Battery Manufacturing
CONCORDE/INTERPSACE BATTERY GEORGIA CORPORATION,7905 TROON CIR,AUSTELL,COBB COUNTY,30168,GA,33.7613947,-84.5720551,335911 Storage Battery Manufacturing
"TROJAN BATTERY CO., LLC",3012 GEORGE J LYONS PARKWAY WEST,SANDERSVILLE,WASHINGTON,31082-9317,GA,32.99923,-82.8355,335911 Storage Battery Manufacturing
OPTIMA CHEMICAL GROUP LLC,200 WILLACOOCHEE HWY.,DOUGLAS,COFFEE COUNTY,31535-4118,GA,31.48591,-82.86318,325180 Other Basic Inorganic Chemical Manufacturing
PEACH STATE LABS INC COLUMBUS,1136 CHUMAR STREET,COLUMBUS,MUSCOGEE,31904-4926,GA,32.519129,-84.973933,325188 All Other Basic Inorganic Chemical Manufacturing
OFFICE,1645 RISING MIST LN,CUMMING,FORSYTH COUNTY,30041,GA,34.200182,-84.115415,424690 Other Chemical And Allied Products Merchant Wholesalers
CARBO CERAMICS INC. - TOOMSBORO PLANT,1880 DENT RD,TOOMSBORO,WILKINSON COUNTY,31090,GA,32.854436,-83.140829,212324 Kaolin And Ball Clay Mining
MESSER LLC,20 GUYTON INDUSTRIAL DR,CARTERSVILLE,BARTOW COUNTY,30121,GA,34.22163,-84.797209,325120 Industrial Gas Manufacturing
MESSER LLC,2747 S HUTCHINSON AVE,ADEL,COOK COUNTY,31620,GA,31.100098,-83.409945,325120 Industrial Gas Manufacturing
AUGUSTA.,733 LANEY WALKER BLVD. EXT.,AUGUSTA,RICHMOND,30903,GA,33.450718,-81.924579,325998 All Other Miscellaneous Chemical Product And Preparation Manufacturing
H B FULLER CO,2333 FULLER WAY,TUCKER,DEKALB,30084,GA,33.8525,-84.20472,325520 Adhesive Manufacturing
CELLOFOAM NORTH AMERICA  INC,1961 INDUSTRIAL BLVD.,CONYERS,ROCKDALE,30012-3941,GA,33.676287,-84.050207,326140 Polystyrene Foam Product Manufacturing
"CELLOFOAM NORTH AMERICA, INC. - GAINESVILLE",1090 AIRPORT IND. PAR,GAINESVILLE,HALL,30501,GA,34.286134,-83.836895,326140 Polystyrene Foam Product Manufacturing
"IMERYS MINERALS USA, INC.",225 NEWCASTLE ST,BRUNSWICK,GLYNN,31521,GA,31.13244,-81.48926,327992 Ground Or Treated Mineral And Earth Manufacturing
WHITAKER OIL CO,1557 MARIETTA RD.,ATLANTA,FULTON,30318-3652,GA,33.79405,-84.43809,424710 Petroleum Bulk Stations And Terminals
FANG CHEMICALS INC,2865 S HIGHWAY 16,CARROLLTON,CARROLL COUNTY,30116,GA,33.530507,-85.006615,325180 Other Basic Inorganic Chemical Manufacturing
"FANG PHOS, INC",2865 S HWY 16,CARROLLTON,CARROLL COUNTY,30116,GA,33.530386,-85.006412,325180 Other Basic Inorganic Chemical Manufacturing
"LINPHOS CHEMICAL, INC.",113 PROGRESS DRIVE,RINCON,EFFINGHAM,31326,GA,32.33327,-81.2498,424690 Other Chemical And Allied Products Merchant Wholesalers
"E&C CHEMICALS, INC.",211 AVE C,CARROLLTON,CARROLL,30117-2809,GA,33.568,-85.095,325180 Other Basic Inorganic Chemical Manufacturing
NOURYON PULP AND PERFORMANCE CHEMICALS INC,1616 MARVIN GRIFFIN RD.,AUGUSTA,RICHMOND COUNTY,30906,GA,33.39428,-81.99476,325180 Other Basic Inorganic Chemical Manufacturing
OCCIDENTAL CHEM CORP (OXYCHEM),1620 MARVIN GRIFFIN RD,AUGUSTA,RICHMOND COUNTY,30906,GA,33.38853,-81.99268,325180 Other Basic Inorganic Chemical Manufacturing
PQ CORPORATION,2430 DOUG BARNARD PKY.,AUGUSTA,RICHMOND COUNTY,30906-8719,GA,33.33885,-81.95449,325180 Other Basic Inorganic Chemical Manufacturing
KRATON CHEMICAL LLC-SAVANNAH TALL OIL PLANT,1201 W LATHROP AVE,SAVANNAH,CHATHAM COUNTY,31415,GA,32.096533,-81.125046,"325194 Cyclic Crude, Intermediate, And Gum And Wood Chemical Manufacturing"
TEMPLE-INLAND ROME LINERBOARD MILL,238 MAYS BRIDGE RD.,ROME,FLOYD,30165-8115,GA,34.253386,-85.329071,322130 Paperboard Mills
GRAPHIC PACKAGING INTERNATIONAL,100 GRAPHIC PACKAGING INTRNTL  WAY,MACON,BIBB,31206,GA,32.77259,-83.63014,322130 Paperboard Mills
PACKAGING CORPORATION OF AMERICA,5495 CLYATTVILLE LAKE PARK RD,VALDOSTA,LOWNDES COUNTY,31601,GA,30.69305,-83.306533,322110 Pulp Mills
SOUTHERN STATES PHOSPHATE & FE RTILIZER CO,1600 EAST PRESIDENT STREET,SAVANNAH,CHATHAM COUNTY,31404-1016,GA,32.07356,-81.06543,325180 Other Basic Inorganic Chemical Manufacturing
"SULFCO, LLC",1 KERR-MCGEE RD,SAVANNAH,,31404,GA,32.085306,-81.026194,325180 Other Basic Inorganic Chemical Manufacturing
CHEMTRADE SOLUTION LLC.,211 BRAMPTON RD,SAVANNAH,CHATHAM COUNTY,31408,GA,32.11313,-81.13825,331313 Alumina Refining And Primary Aluminum Production
"CHEMTRADE SOLUTIONS, LLC",12551 HWY 273 WEST,CEDAR SPRINGS,EARLY COUNTY,39832,GA,31.176156,-85.096641,331313 Alumina Refining And Primary Aluminum Production
"CHEMTRADE LOGISTICS, INC.",1427 CENTRAL AVE.,EAST POINT,,30344,GA,33.67071,-84.43739,331313 Alumina Refining And Primary Aluminum Production
CHEMTRADE SOLUTIONS - MACON FACILITY,4652 MEAD RD,MACON,BIBB COUNTY,31206,GA,32.77686,-83.63675,331313 Alumina Refining And Primary Aluminum Production
HAMMOND STEAM ELECTRIC GENERATING PLANT,5963 ALABAMA HIGHWAY,COOSA,FLOYD,30129,GA,34.250361,-85.345389,221112 Fossil Fuel Electric Power Generation
BASF CORPORATION,GA HIGHWAY 18 SPUR,GORDON,WILKINSON COUNTY,31031,GA,32.8388,-83.33043,212324 Kaolin And Ball Clay Mining
"ARBORIS, LLC",1101 WEST LATHROP AVENUE,SAVANNAH,CHATHAM,31415,GA,32.09754,-81.12156,325191 Gum And Wood Chemical Manufacturing
REPUBLIC CONDUIT INC,633 GEORGIA TUBING RD,CEDAR SPRINGS,EARLY COUNTY,39832,GA,31.14368,-85.063116,331210 Iron And Steel Pipe And Tube Manufacturing From Purchased Steel
