2020 Census Tract,T2_est77,T2_est84,T2_est91,Total Rental Units with Severe Housing Problems and Equal to or less than 80% AMI,T7_est109,T7_est130,T7_est151,Total Rental Units Equal to or less than 80% AMI,% of rental units occupied by 80% AMI and below with Severe Housing Problems
13021012102,65,75,25,165,110,145,160,415,0.39759036144578314
13021012200,130,40,30,200,220,95,125,440,0.45454545454545453
13021012400,250,190,0,440,395,310,30,735,0.5986394557823129
13021012500,420,20,0,440,555,55,55,665,0.6616541353383458
13021012600,145,55,0,200,165,150,230,545,0.3669724770642202
13021012700,160,20,0,180,265,70,30,365,0.4931506849315068
13021012800,135,45,0,180,390,130,155,675,0.26666666666666666
13021012900,75,45,0,120,145,75,60,280,0.42857142857142855
13021013101,210,95,0,305,285,175,200,660,0.4621212121212121
13021013102,110,95,0,205,215,145,140,500,0.41
13021013201,170,190,15,375,375,400,230,1005,0.373134328358209
13021013202,95,90,0,185,290,115,140,545,0.3394495412844037
13021013302,70,10,0,80,85,25,190,300,0.26666666666666666
13021013407,45,80,50,175,70,140,215,425,0.4117647058823529
13021013408,0,155,20,175,35,155,65,255,0.6862745098039216
13021013409,15,30,60,105,55,30,195,280,0.375
13021013411,330,40,55,425,365,40,140,545,0.7798165137614679
13021013412,40,0,60,100,55,30,115,200,0.5
13021013413,50,15,0,65,50,15,90,155,0.41935483870967744
13021013502,55,4,20,79,65,85,40,190,0.41578947368421054
13021013503,45,30,0,75,50,45,65,160,0.46875
13021013505,0,20,45,65,0,20,255,275,0.23636363636363636
13021013506,0,0,0,0,0,0,15,15,0
13021013603,60,40,0,100,65,40,50,155,0.6451612903225806
13021013604,0,0,0,0,30,35,10,75,0
13021013605,55,55,0,110,55,70,105,230,0.4782608695652174
13021013607,15,15,40,70,15,30,45,90,0.7777777777777778
13021013608,65,140,0,205,65,155,35,255,0.803921568627451
13021013701,90,20,30,140,225,50,75,350,0.4
13021013702,215,0,10,225,305,0,85,390,0.5769230769230769
13021013800,50,15,0,65,210,50,55,315,0.20634920634920634
13021013900,50,15,0,65,55,20,165,240,0.2708333333333333
13021014000,185,25,0,210,245,170,165,580,0.3620689655172414
13023790100,15,15,0,30,40,25,15,80,0.375
13023790200,45,0,0,45,105,55,120,280,0.16071428571428573
13023790301,70,0,0,70,120,30,50,200,0.35
13023790302,50,10,0,60,85,95,15,195,0.3076923076923077
13025960101,0,0,0,0,20,125,15,160,0
13025960102,40,0,0,40,70,120,0,190,0.21052631578947367
13025960201,15,0,0,15,15,40,0,55,0.2727272727272727
13025960202,125,20,0,145,205,85,70,360,0.4027777777777778
13025960300,75,55,4,134,115,105,160,380,0.3526315789473684
13027960200,15,0,0,15,25,30,20,75,0.2
13027960301,75,0,0,75,135,50,70,255,0.29411764705882354
13027960302,10,0,0,10,20,30,0,50,0.2
13027960400,90,20,0,110,170,155,120,445,0.24719101123595505
13027960500,110,70,0,180,240,110,120,470,0.3829787234042553
13027960600,20,25,0,45,50,55,25,130,0.34615384615384615
13029920101,100,30,0,130,120,50,60,230,0.5652173913043478
13029920103,25,40,0,65,50,220,210,480,0.13541666666666666
13029920104,0,0,0,0,0,10,0,10,0
13029920301,0,0,0,0,55,20,10,85,0
13029920303,135,65,75,275,325,180,225,730,0.3767123287671233
13029920305,20,0,40,60,20,15,55,90,0.6666666666666666
13029920307,0,0,45,45,0,0,70,70,0.6428571428571429
13029920308,125,45,20,190,265,140,55,460,0.41304347826086957
13029980000,0,0,0,0,0,0,0,0,-
13031110100,95,0,4,99,125,25,45,195,0.5076923076923077
13031110201,0,90,0,90,60,90,35,185,0.4864864864864865
13031110202,110,95,0,205,195,215,15,425,0.4823529411764706
13031110301,40,35,0,75,40,120,30,190,0.39473684210526316
13031110302,65,15,15,95,65,45,165,275,0.34545454545454546
13031110401,295,90,40,425,410,305,240,955,0.44502617801047123
13031110405,245,130,115,490,360,450,400,1210,0.4049586776859504
13031110406,250,0,10,260,305,45,205,555,0.46846846846846846
13031110407,70,0,0,70,70,10,45,125,0.56
13031110408,100,15,0,115,105,95,150,350,0.32857142857142857
13031110500,170,205,20,395,215,305,230,750,0.5266666666666666
13031110602,130,80,0,210,250,165,290,705,0.2978723404255319
13031110603,20,30,30,80,55,155,200,410,0.1951219512195122
13031110604,275,50,70,395,330,130,185,645,0.6124031007751938
13031110701,200,0,30,230,225,20,205,450,0.5111111111111111
13031110702,70,50,0,120,70,115,35,220,0.5454545454545454
13031110703,60,10,0,70,80,35,75,190,0.3684210526315789
13031110800,40,15,0,55,40,35,80,155,0.3548387096774194
13031110901,0,0,0,0,10,0,75,85,0
13031110902,0,0,0,0,0,0,110,110,0
13033950101,35,0,0,35,50,0,100,150,0.23333333333333334
13033950102,55,0,0,55,80,0,0,80,0.6875
13033950200,4,4,0,8,10,4,115,129,0.06201550387596899
13033950400,180,0,0,180,345,100,155,600,0.3
13033950500,50,0,0,50,135,25,35,195,0.2564102564102564
13033950700,10,0,0,10,60,40,20,120,0.08333333333333333
13033950900,70,4,0,74,75,35,80,190,0.3894736842105263
13035150101,0,70,30,100,0,110,80,190,0.5263157894736842
13035150102,70,0,0,70,85,95,100,280,0.25
13035150201,50,95,20,165,120,180,100,400,0.4125
13035150202,0,40,0,40,0,40,170,210,0.19047619047619047
13035150300,95,65,0,160,115,105,15,235,0.6808510638297872
13037950100,4,0,0,4,20,35,45,100,0.04
13037950200,90,15,15,120,130,60,60,250,0.48
13039010100,85,0,0,85,85,15,80,180,0.4722222222222222
13039010201,15,4,4,23,40,60,80,180,0.12777777777777777
13039010202,15,0,0,15,15,10,15,40,0.375
13039010302,85,20,0,105,140,150,110,400,0.2625
13039010303,100,0,45,145,130,35,165,330,0.4393939393939394
13039010304,0,30,0,30,10,180,55,245,0.12244897959183673
13039010305,0,4,0,4,0,80,45,125,0.032
13039010403,0,0,0,0,0,0,15,15,0
13039010404,265,140,0,405,265,140,130,535,0.7570093457943925
13039010405,180,80,10,270,180,120,140,440,0.6136363636363636
13039010406,15,0,50,65,15,0,50,65,1
13039010407,25,15,20,60,25,95,25,145,0.41379310344827586
13039010500,45,10,10,65,70,70,110,250,0.26
13039010602,10,20,0,30,10,65,4,79,0.379746835443038
13039010603,35,0,0,35,45,0,35,80,0.4375
13039010604,380,0,35,415,390,30,290,710,0.5845070422535211
13039990000,0,0,0,0,0,0,0,0,-
13043950100,220,15,0,235,400,270,150,820,0.2865853658536585
13043950200,60,0,10,70,105,85,165,355,0.19718309859154928
13043950300,0,0,4,4,65,15,25,105,0.0380952380952381
13045910101,85,0,0,85,135,75,465,675,0.1259259259259259
13045910103,60,30,0,90,60,95,60,215,0.4186046511627907
13045910105,0,0,0,0,30,20,155,205,0
13045910106,495,0,0,495,575,45,150,770,0.6428571428571429
13045910201,0,0,0,0,30,0,125,155,0
13045910202,0,0,0,0,0,10,110,120,0
13045910203,20,0,0,20,20,0,95,115,0.17391304347826086
13045910301,135,20,0,155,155,30,4,189,0.8201058201058201
13045910302,25,10,0,35,45,60,80,185,0.1891891891891892
13045910400,25,0,0,25,95,100,80,275,0.09090909090909091
13045910502,300,55,45,400,450,350,165,965,0.41450777202072536
13045910503,220,70,0,290,300,100,210,610,0.47540983606557374
13045910504,90,0,0,90,250,50,0,300,0.3
13045910600,175,95,0,270,320,225,120,665,0.40601503759398494
13045910704,65,0,0,65,65,65,45,175,0.37142857142857144
