2020 Census Tract,Total Rental Units with Severe Housing Problems and Equal to or less than 80% AMI,Total Rental Units Equal to or less than 80% AMI,% of rental units occupied by 80% AMI and below with Severe Housing Problems
13067030262,0,0,-
13067030263,75,140,0.5357142857142857
13067030264,0,25,0
13067030265,0,10,0
13067030266,0,0,-
13067030267,15,15,1
13067030268,0,0,-
13067030269,0,30,0
13067030270,0,0,-
13067030271,35,35,1
13067030272,8,59,0.13559322033898305
13067030273,0,40,0
13067030274,130,210,0.6190476190476191
13067030275,220,400,0.55
13067030276,65,65,1
13067030277,0,0,-
13067030278,165,380,0.4342105263157895
13067030319,15,45,0.3333333333333333
13067030322,10,20,0.5
13067030324,0,80,0
13067030326,0,4,0
13067030327,28,255,0.10980392156862745
13067030329,50,100,0.5
13067030331,0,4,0
13067030332,20,30,0.6666666666666666
13067030334,20,40,0.5
13067030335,0,20,0
13067030337,10,10,1
13067030340,0,15,0
13067030341,0,35,0
13067030342,0,0,-
13067030343,0,0,-
13067030344,460,1005,0.4577114427860697
13067030345,355,785,0.45222929936305734
13067030346,80,184,0.43478260869565216
13067030347,4,160,0.025
13067030348,55,110,0.5
13067030349,59,164,0.3597560975609756
13067030350,0,10,0
13067030351,0,0,-
13067030352,180,180,1
13067030353,50,215,0.23255813953488372
13067030354,25,150,0.16666666666666666
13067030355,185,335,0.5522388059701493
13067030356,220,615,0.35772357723577236
13067030357,0,0,-
13067030358,20,30,0.6666666666666666
13067030359,15,30,0.5
13067030360,0,0,-
13067030361,160,180,0.8888888888888888
13067030362,0,0,-
13067030363,0,125,0
13067030364,10,10,1
13067030365,0,40,0
13067030366,10,10,1
13067030367,35,50,0.7
13067030368,20,45,0.4444444444444444
13067030369,0,0,-
13067030370,0,10,0
13067030405,340,1020,0.3333333333333333
13067030407,115,335,0.34328358208955223
13067030408,70,165,0.42424242424242425
13067030409,30,40,0.75
13067030410,215,810,0.2654320987654321
13067030411,175,480,0.3645833333333333
13067030412,340,920,0.3695652173913043
13067030413,545,1240,0.43951612903225806
13067030414,320,945,0.3386243386243386
13067030505,440,1150,0.3826086956521739
13067030506,365,640,0.5703125
13067030507,49,110,0.44545454545454544
13067030508,55,230,0.2391304347826087
13067030509,0,0,-
13067030510,4,94,0.0425531914893617
13067030511,70,265,0.2641509433962264
13067030602,285,455,0.6263736263736264
13067030603,240,755,0.31788079470198677
13067030604,390,645,0.6046511627906976
13067030700,270,840,0.32142857142857145
13067030800,260,630,0.4126984126984127
13067030906,170,310,0.5483870967741935
13067030907,95,395,0.24050632911392406
13067030908,80,250,0.32
13067030909,75,75,1
13067030910,235,500,0.47
13067030911,325,695,0.4676258992805755
13067030912,370,820,0.45121951219512196
13067031001,355,915,0.3879781420765027
13067031004,405,1455,0.27835051546391754
13067031005,65,170,0.38235294117647056
13067031006,405,705,0.574468085106383
13067031007,525,1210,0.43388429752066116
13067031101,450,1060,0.42452830188679247
13067031110,125,215,0.5813953488372093
13067031111,54,165,0.32727272727272727
13067031112,305,435,0.7011494252873564
13067031113,120,380,0.3157894736842105
13067031114,605,1395,0.4336917562724014
13067031115,60,210,0.2857142857142857
13067031116,230,525,0.4380952380952381
13067031117,20,255,0.0784313725490196
13067031118,290,395,0.7341772151898734
13067031119,80,340,0.23529411764705882
13067031120,20,280,0.07142857142857142
13067031121,25,320,0.078125
13067031122,65,185,0.35135135135135137
13067031207,210,415,0.5060240963855421
13067031209,0,30,0
13067031212,0,0,-
13067031213,85,315,0.2698412698412698
13067031214,155,395,0.3924050632911392
13067031215,90,215,0.4186046511627907
13067031216,95,120,0.7916666666666666
13067031217,245,385,0.6363636363636364
13067031218,60,255,0.23529411764705882
13067031219,180,290,0.6206896551724138
13067031220,30,495,0.06060606060606061
13067031221,100,160,0.625
13067031306,165,370,0.44594594594594594
13067031308,90,380,0.23684210526315788
13067031314,80,195,0.41025641025641024
13067031315,15,35,0.42857142857142855
13067031316,65,135,0.48148148148148145
13067031317,35,290,0.1206896551724138
13067031318,324,545,0.5944954128440367
13067031319,415,975,0.4256410256410256
13067031320,250,1120,0.22321428571428573
13067031321,100,380,0.2631578947368421
13067031322,100,350,0.2857142857142857
13067031323,35,75,0.4666666666666667
13067031324,75,85,0.8823529411764706
13067031325,0,0,-
13067031409,65,245,0.2653061224489796
13067031410,180,245,0.7346938775510204
13067031411,135,280,0.48214285714285715
13067031412,264,690,0.3826086956521739
13067031413,180,920,0.1956521739130435
13067031414,0,60,0
13067031415,145,175,0.8285714285714286
13067031416,25,145,0.1724137931034483
13067031417,90,460,0.1956521739130435
13067031506,150,325,0.46153846153846156
13067031507,40,235,0.1702127659574468
13067031510,40,185,0.21621621621621623
13067031511,70,215,0.32558139534883723
13067031512,25,195,0.1282051282051282
13067031513,60,145,0.41379310344827586
13067031514,35,95,0.3684210526315789
13067031515,30,180,0.16666666666666666
13067031516,10,65,0.15384615384615385
13067031517,115,140,0.8214285714285714
13067031518,35,35,1
13069010100,45,215,0.20930232558139536
13069010200,10,240,0.041666666666666664
13069010301,20,74,0.2702702702702703
13069010302,40,125,0.32
13069010401,110,290,0.3793103448275862
13069010402,190,400,0.475
13069010500,140,370,0.3783783783783784
13069010600,8,235,0.03404255319148936
13069010701,120,345,0.34782608695652173
13069010702,105,145,0.7241379310344828
13069010801,130,395,0.3291139240506329
13069010802,135,755,0.17880794701986755
13071970101,54,220,0.24545454545454545
13071970102,0,39,0
13071970200,45,230,0.1956521739130435
13071970301,175,750,0.23333333333333334
13071970302,0,135,0
13071970400,64,330,0.19393939393939394
13071970500,44,115,0.3826086956521739
13071970601,85,205,0.4146341463414634
13071970602,80,245,0.32653061224489793
13071970702,230,430,0.5348837209302325
13071970703,165,565,0.2920353982300885
13071970704,55,290,0.1896551724137931
13071970800,50,280,0.17857142857142858
13071970901,35,105,0.3333333333333333
13071970902,84,439,0.19134396355353075
13073030103,29,50,0.58
13073030105,79,155,0.5096774193548387
13073030106,30,95,0.3157894736842105
13073030107,0,15,0
13073030108,20,30,0.6666666666666666
13073030201,135,265,0.5094339622641509
13073030202,85,200,0.425
13073030203,105,205,0.5121951219512195
13073030304,10,70,0.14285714285714285
13073030306,60,150,0.4
13073030307,35,140,0.25
13073030308,35,55,0.6363636363636364
13073030310,4,45,0.08888888888888889
13073030311,0,15,0
13073030312,15,45,0.3333333333333333
13073030313,25,280,0.08928571428571429
13073030401,0,30,0
13073030403,215,370,0.581081081081081
13073030404,20,135,0.14814814814814814
13073030503,70,410,0.17073170731707318
13073030504,100,145,0.6896551724137931
13073030505,175,480,0.3645833333333333
13073030507,70,140,0.5
13073030508,55,110,0.5
13073030603,70,140,0.5
13075960100,40,125,0.32
13075960200,90,335,0.26865671641791045
13075960301,38,195,0.19487179487179487
13075960302,235,370,0.6351351351351351
13075960400,110,435,0.25287356321839083
13077170101,45,70,0.6428571428571429
13077170102,90,310,0.2903225806451613
13077170200,95,625,0.152
13077170303,10,100,0.1
13077170304,120,360,0.3333333333333333
13077170307,330,1520,0.21710526315789475
13077170308,170,580,0.29310344827586204
13077170309,235,440,0.5340909090909091
13077170310,230,410,0.5609756097560976
13077170403,0,140,0
13077170404,0,75,0
13077170405,70,185,0.3783783783783784
13077170406,10,25,0.4
13077170407,40,70,0.5714285714285714
13077170408,45,125,0.36
13077170501,75,245,0.30612244897959184
13077170502,25,160,0.15625
13077170503,15,100,0.15
13077170603,15,110,0.13636363636363635
13077170604,185,525,0.3523809523809524
13077170605,245,640,0.3828125
13077170606,105,290,0.3620689655172414
13077170607,0,15,0
13077170701,90,460,0.1956521739130435
13077170702,245,385,0.6363636363636364
13077170801,65,245,0.2653061224489796
13077170802,34,145,0.23448275862068965
13079070100,73,325,0.2246153846153846
13079070201,30,135,0.2222222222222222
13079070202,10,39,0.2564102564102564
13081010100,380,705,0.5390070921985816
13081010201,270,580,0.46551724137931033
13081010202,130,390,0.3333333333333333
13081010300,145,285,0.5087719298245614
13081010400,365,615,0.5934959349593496
13081010500,4,89,0.0449438202247191
13083040102,70,370,0.1891891891891892
13083040103,40,275,0.14545454545454545
13083040104,35,330,0.10606060606060606
13083040200,70,195,0.358974358974359
13083040300,20,70,0.2857142857142857
13085970101,0,0,-
13085970102,140,325,0.4307692307692308
13085970103,0,170,0
13085970203,0,40,0
13085970204,55,440,0.125
13085970205,130,140,0.9285714285714286
13085970206,49,149,0.3288590604026846
13087970100,84,170,0.49411764705882355
13087970200,80,205,0.3902439024390244
13087970301,95,250,0.38
13087970302,110,300,0.36666666666666664
13087970400,305,680,0.4485294117647059
13087970600,155,465,0.3333333333333333
13087970700,15,64,0.234375
13087970800,105,170,0.6176470588235294
13089020100,25,40,0.625
13089020200,50,150,0.3333333333333333
13089020300,25,70,0.35714285714285715
13089020400,25,120,0.20833333333333334
13089020500,85,345,0.2463768115942029
13089020600,115,250,0.46
13089020700,274,440,0.6227272727272727
13089020801,44,64,0.6875
13089020802,60,310,0.1935483870967742
13089020901,15,275,0.05454545454545454
13089020902,180,345,0.5217391304347826
13089021101,14,69,0.2028985507246377
