geoid,name,Housing Problems: Less than or equal to 30% of HAMFI,Housing Problems: Greater than 30% but less than or equal to 50% of HAMFI,Housing Problems: Greater than 50% but less than or equal to 80% of HAMFI,Total with Housing Problems,Total: Less than or equal to 30% of HAMFI,Total: Greater than 30% but less than or equal to 50% of HAMFI,Total: Greater than 50% but less than or equal to 80% of HAMFI,Total renters,Total: Propotion of Housing Problems to Total Renters,GeoID2
05000US13123,"Gilmer County, Georgia",300,485,225,1010,550,715,690,1955,0.5166240409207161,13123
05000US13125,"Glascock County, Georgia",55,40,15,110,80,55,40,175,0.6285714285714286,13125
05000US13127,"Glynn County, Georgia",2115,1645,1180,4940,2825,2395,2410,7630,0.6474442988204456,13127
05000US13129,"Gordon County, Georgia",900,1335,755,2990,1350,1545,1945,4840,0.6177685950413223,13129
05000US13131,"Grady County, Georgia",530,750,310,1590,835,805,660,2300,0.691304347826087,13131
05000US13133,"Greene County, Georgia",420,235,70,725,500,330,340,1170,0.6196581196581197,13133
05000US13135,"Gwinnett County, Georgia",14735,18050,15065,47850,17350,19350,24730,61430,0.7789353735959629,13135
05000US13137,"Habersham County, Georgia",500,410,235,1145,680,555,605,1840,0.6222826086956522,13137
05000US13139,"Hall County, Georgia",3530,2660,2220,8410,4225,3435,4710,12370,0.6798706548100243,13139
05000US13141,"Hancock County, Georgia",225,120,105,450,340,195,195,730,0.6164383561643836,13141
05000US13143,"Haralson County, Georgia",700,410,230,1340,915,660,640,2215,0.6049661399548533,13143
05000US13145,"Harris County, Georgia",130,145,140,415,245,260,320,825,0.503030303030303,13145
05000US13147,"Hart County, Georgia",370,495,225,1090,605,585,555,1745,0.6246418338108882,13147
05000US13149,"Heard County, Georgia",310,100,10,420,500,210,245,955,0.4397905759162304,13149
05000US13151,"Henry County, Georgia",3245,3820,2270,9335,3905,4335,4725,12965,0.7200154261473197,13151
05000US13153,"Houston County, Georgia",4050,2940,1590,8580,4940,3535,4730,13205,0.6497538811056418,13153
05000US13155,"Irwin County, Georgia",140,115,75,330,235,215,190,640,0.515625,13155
05000US13157,"Jackson County, Georgia",945,760,330,2035,1270,1025,1090,3385,0.6011816838995568,13157
05000US13159,"Jasper County, Georgia",200,190,15,405,430,305,235,970,0.4175257731958763,13159
05000US13161,"Jeff Davis County, Georgia",300,125,155,580,465,265,630,1360,0.4264705882352941,13161
05000US13163,"Jefferson County, Georgia",585,225,95,905,795,305,555,1655,0.5468277945619335,13163
05000US13165,"Jenkins County, Georgia",355,80,40,475,460,145,220,825,0.5757575757575758,13165
05000US13167,"Johnson County, Georgia",185,135,60,380,375,225,155,755,0.5033112582781457,13167
05000US13169,"Jones County, Georgia",400,345,210,955,545,410,390,1345,0.7100371747211895,13169
05000US13171,"Lamar County, Georgia",355,450,175,980,590,525,415,1530,0.6405228758169934,13171
05000US13173,"Lanier County, Georgia",325,120,110,555,445,195,300,940,0.5904255319148937,13173
05000US13175,"Laurens County, Georgia",1340,735,420,2495,1795,1140,1260,4195,0.5947556615017878,13175
05000US13177,"Lee County, Georgia",265,365,305,935,360,395,490,1245,0.751004016064257,13177
05000US13179,"Liberty County, Georgia",1430,1185,2305,4920,1875,1395,3175,6445,0.7633824670287044,13179
05000US13181,"Lincoln County, Georgia",125,120,0,245,270,210,150,630,0.3888888888888889,13181
05000US13183,"Long County, Georgia",175,315,210,700,330,395,365,1090,0.6422018348623854,13183
05000US13185,"Lowndes County, Georgia",3230,2495,2340,8065,5360,3120,3985,12465,0.6470116325711993,13185
05000US13187,"Lumpkin County, Georgia",585,625,375,1585,805,795,670,2270,0.698237885462555,13187
05000US13189,"McDuffie County, Georgia",925,495,105,1525,1085,685,490,2260,0.6747787610619469,13189
05000US13191,"McIntosh County, Georgia",190,175,135,500,335,220,275,830,0.6024096385542169,13191
05000US13193,"Macon County, Georgia",290,270,65,625,470,370,305,1145,0.5458515283842795,13193
05000US13195,"Madison County, Georgia",470,265,110,845,615,580,585,1780,0.4747191011235955,13195
05000US13197,"Marion County, Georgia",125,60,0,185,240,205,90,535,0.34579439252336447,13197
05000US13199,"Meriwether County, Georgia",590,405,75,1070,755,620,595,1970,0.5431472081218274,13199
05000US13201,"Miller County, Georgia",130,105,60,295,255,145,105,505,0.5841584158415841,13201
05000US13205,"Mitchell County, Georgia",555,405,230,1190,685,645,605,1935,0.6149870801033591,13205
05000US13207,"Monroe County, Georgia",290,290,145,725,515,435,570,1520,0.4769736842105263,13207
05000US13209,"Montgomery County, Georgia",165,125,65,355,270,190,190,650,0.5461538461538461,13209
05000US13211,"Morgan County, Georgia",270,160,90,520,385,265,250,900,0.5777777777777777,13211
05000US13213,"Murray County, Georgia",455,540,330,1325,595,860,1225,2680,0.4944029850746269,13213
05000US13215,"Muscogee County, Georgia",6985,4935,4410,16330,8545,5840,6995,21380,0.7637979420018709,13215
05000US13217,"Newton County, Georgia",3230,1865,985,6080,3670,2730,2720,9120,0.6666666666666666,13217
05000US13219,"Oconee County, Georgia",195,295,300,790,250,315,730,1295,0.61003861003861,13219
05000US13221,"Oglethorpe County, Georgia",230,165,35,430,400,320,225,945,0.455026455026455,13221
05000US13223,"Paulding County, Georgia",1910,1800,1895,5605,2355,1960,3825,8140,0.6885749385749386,13223
05000US13225,"Peach County, Georgia",550,620,370,1540,920,800,875,2595,0.5934489402697495,13225
05000US13227,"Pickens County, Georgia",545,430,80,1055,755,685,440,1880,0.5611702127659575,13227
