data_source,site_name,site_address,site_city,site_county,site_latitude,site_longitude,undesirable_activity
hsi,Bonnell Aluminum,25 Bonnell Street,Newnan,Coweta,33.38194444444444,-84.81666666666666,hazardous_inventory
hsi,Travis Field-Savannah International Airport,"Airport Commission, 400 Airway Avenue",Savannah,Chatham,32.11611111111111,-81.19055555555556,hazardous_inventory
hsi,Cedartown Municipal Landfill - Former NPL Site,10th Street (1.8 miles west of Cedartown),Cedartown,Polk,34.014722222222225,-85.2875,hazardous_inventory
hsi,"U.S. Naval Submarine Base, Kings Bay",1063 USS Tennessee Avenue,Kings Bay,Camden,30.811944444444446,-81.57027777777778,hazardous_inventory
hsi,U.S. Marine Corps Logistics Base - NPL Site,Fleming Road,Albany,Dougherty,31.549166666666668,-84.05944444444444,hazardous_inventory
hsi,Central of GA RR-Bernuth-Lembcke Site,Ocean Terminal,Savannah,Chatham,32.09527777777778,-81.10916666666667,hazardous_inventory
hsi,M&J Solvents Company,1577 Marietta Road NW,Atlanta,Fulton,33.794999999999995,-84.43805555555556,hazardous_inventory
hsi,Atlanta Gas Light Company - Waycross MGP Site,903 Glenmore Avenue,Waycross,Ware,31.198888888888888,-82.37388888888889,hazardous_inventory
hsi,Alco Controls,400 East First Street,Hazlehurst,Jeff Davis,31.865555555555556,-82.5925,hazardous_inventory
hsi,Cedartown Battery Site,Mountain Home Road and Prior Station Road,Cedartown,Polk,34.014722222222225,-85.29888888888888,hazardous_inventory
hsi,Scripto Plant & Office Complex (Former),423 John Wesley Dobbs St. & 430 Irwin Street,Atlanta,Fulton,33.75833333333333,-84.37305555555555,hazardous_inventory
hsi,U.S. Army - Fort Benning (FBSB-86),GA Hwy 1 & U.S. 27,Fort Benning,Muscogee,32.36388888888889,-84.97972222222222,hazardous_inventory
hsi,International Paper (Former Union Camp Corp / Amoco),West Lathrop Avenue,Savannah,Chatham,32.102222222222224,-81.13305555555554,hazardous_inventory
hsi,Phibro-Tech (fka C P Chemicals),4080 Industry Road,Powder Springs,Cobb,33.85305555555556,-84.65055555555556,hazardous_inventory
hsi,Georgia Metals,4000 Industry Road SW,Powder Springs,Cobb,33.855000000000004,-84.65027777777779,hazardous_inventory
hsi,Amoco Fabrics & Fibers - Hazlehurst Mills,4 Gill Street,Hazlehurst,Jeff Davis,31.864444444444445,-82.5911111111111,hazardous_inventory
hsi,Arivec Chemicals,7962 Huey Road,Douglasville,Douglas,33.76222222222222,-84.73194444444445,hazardous_inventory
hsi,Perma-Fix of South Georgia (fka Chemical Conservation of Georgia),1612 James P. Rodgers Circle,Valdosta,Lowndes,30.797500000000003,-83.28083333333333,hazardous_inventory
hsi,U.S. Army Corps of Engineers Airstrip (current),Corps Airport Road,Bainbridge,Decatur,30.73222222222222,-84.83222222222221,hazardous_inventory
hsi,Atlanta Gas Light Company - Savannah MGP Site,Area West & SW of E. Bay St. & Gen. McIntosh Blvd.,Savannah,Chatham,32.07805555555556,-81.08361111111111,hazardous_inventory
hsi,Atlanta Gas Light Company - Augusta MGP Site,Walton Way & Eighth Street (807 8th Street),Augusta,Richmond,33.467777777777776,-81.96972222222223,hazardous_inventory
hsi,"Excalibur Realty (fka Chemical Specialties, Inc.)",1219 Old Clyattville Road,Valdosta,Lowndes,30.809722222222224,-83.2875,hazardous_inventory
hsi,Monroe Auto Equipment Company (Tenneco),200 McIntyre Drive,Hartwell,Hart,34.35388888888889,-82.94305555555556,hazardous_inventory
hsi,Monsanto Chemical Company - (former NPL Site),1610 Marvin Griffin Road,Augusta,Richmond,33.39083333333333,-81.99055555555556,hazardous_inventory
hsi,York Casket Hardware (fka Piedmont Metals),506 Maltbie Street,Lawrenceville,Gwinnett,33.96472222222223,-84.00027777777778,hazardous_inventory
hsi,304 N Dudley Street Site,304 N Dudley Street,Americus,Sumter,32.07472222222223,-84.23833333333333,hazardous_inventory
hsi,Union Timber,US Route 84,Homerville,Clinch,31.029722222222222,-82.76638888888888,hazardous_inventory
hsi,Southern States,30 Georgia Ave.,Hampton,Henry,33.38583333333333,-84.28999999999999,hazardous_inventory
hsi,So Green Waste Pile,Highland Avenue,Tifton,Tift,31.442222222222224,-83.51055555555556,hazardous_inventory
hsi,Parramore Fertilizer,Highland Avenue,Tifton,Tift,31.440277777777776,-83.5125,hazardous_inventory
hsi,LCP Chemicals - NPL Site,4125 Ross Road,Brunswick,Glynn,31.183611111111112,-81.51083333333334,hazardous_inventory
hsi,Olin Corporation,2402 Doug Barnard Pkwy,Augusta,Richmond,33.344722222222224,-81.95,hazardous_inventory
hsi,Air Force Plant 6,86 South Cobb Drive,Marietta,Cobb,33.906388888888884,-84.51333333333334,hazardous_inventory
hsi,Ashland Chemical Company,4550-B Northeast Expressway,Doraville,Dekalb,33.905,-84.24277777777777,hazardous_inventory
hsi,Signal Energy Holdings (Former Young Refining ),7982 Huey Road,Douglasville,Douglas,33.76305555555555,-84.73111111111112,hazardous_inventory
hsi,Douglas & Lomason Company,317 West Highway 16,Newnan,Coweta,33.391666666666666,-84.82277777777777,hazardous_inventory
hsi,Manor Timber Company,Black Ankle Road,Argyle,Clinch,31.07777777777778,-82.63416666666667,hazardous_inventory
hsi,Ashland Chemical Company,400 Telfair Road,Savannah,Chatham,32.081388888888895,-81.13722222222223,hazardous_inventory
hsi,Conyers Battery Exchange,1796 SW Old Covington Highway,Conyers,Rockdale,33.67361111111111,-84.0461111111111,hazardous_inventory
hsi,Macon Naval Ordnance Landfill (Former) - NPL Site,John W. Garland Drive,Macon,Bibb,32.76916666666666,-83.64694444444446,hazardous_inventory
hsi,A&D Barrel & Drum Company,647 Donald Lee Hollowell Parkway,Atlanta,Fulton,33.77361111111111,-84.40833333333335,hazardous_inventory
hsi,"A.I.D. Company, Div. of Roller Bearing Co. of America.",250 Laurel Heights Drive,Clayton,Rabun,34.87722222222222,-83.38666666666667,hazardous_inventory
hsi,Deptford Tract Landfill,100 Seapoint Blvd.,Savannah,Chatham,32.069722222222225,-81.0425,hazardous_inventory
hsi,Robins Air Force Base - NPL Site,Highway 247,Robins AFB,Houston,32.62083333333334,-83.58166666666666,hazardous_inventory
hsi,Atlas Chemical Company,Junction 11th Street & Hale Street,Waynesboro,Burke,33.096111111111114,-82.02305555555556,hazardous_inventory
hsi,Barlow Creosote,Route 2 (Antioch Church Road),Argyle,Clinch,31.05777777777778,-82.64250000000001,hazardous_inventory
hsi,Berrien Products,East Marion Ave. (Hwy 76) (East of N. Mathis St.),Nashville,Berrien,31.206666666666667,-83.24166666666667,hazardous_inventory
hsi,Estech General Chemicals,1551 Marietta Road at Inman Railyard,Atlanta,Fulton,33.79083333333333,-84.43527777777778,hazardous_inventory
hsi,Gordon Service Company,"Hwy 18; 1,300 ft S of Hwy 18 & 57 intersection",Gordon,Wilkinson,32.85388888888889,-83.35222222222221,hazardous_inventory
hsi,"Martin Fireproofing Georgia, Inc.",1318 Washington Highway,Elberton,Elbert,34.085,-82.8436111111111,hazardous_inventory
hsi,McCranie Brothers Wood Preserving,US Hwy 82 (Coffee Avenue & Wilcox Street),Willacoochee,Atkinson,31.336944444444445,-83.04194444444444,hazardous_inventory
hsi,Metalplate Galvanizing Corp,505 Selig Drive SW,Atlanta,Fulton,33.74527777777778,-84.54555555555555,hazardous_inventory
hsi,Moultrie Wood Preserving Company,1st Avenue NE,Moultrie,Colquitt,31.18138888888889,-83.77194444444444,hazardous_inventory
hsi,Murrow Brothers Delinting Waste,3361 Macon Highway,Farmington,Oconee,33.77972222222222,-83.42500000000001,hazardous_inventory
hsi,W. F. Harris & Sons Wood Preserving,1261 Will Franklin Road,Thomaston,Upson,32.96,-84.41083333333334,hazardous_inventory
hsi,Akzo Coatings (Former),1202 East Parker Street,Baxley,Appling,31.770555555555553,-82.32916666666667,hazardous_inventory
hsi,S&M Scrap Metal Company,Highway 82 East and Highway 319,Tifton,Tift,31.44611111111111,-83.48916666666666,hazardous_inventory
hsi,International Paper (Former Union Camp  - Allen Blvd Landfill),Allen Blvd next to SEPCO Substation,Savannah,Chatham,32.10194444444445,-81.13111111111111,hazardous_inventory
hsi,Terry Creek Dredge Spoil Area- NPL site,Terry & Dupree Creeks-east of US 17 & Torras Cause,Brunswick,Glynn,31.166944444444447,-81.46777777777778,hazardous_inventory
hsi,Morgan Post Treating Impoundment,North of 887 Waycross Highway,Homerville,Clinch,31.043055555555558,-82.73444444444445,hazardous_inventory
hsi,Lyndal Chemical (aka Chemical Processing of Georgia),1338 Coronet Drive,Dalton,Whitfield,34.79555555555555,-84.96555555555555,hazardous_inventory
hsi,Chemresol,145 East Crispen Blvd,Brunswick,Glynn,31.22722222222222,-81.52388888888889,hazardous_inventory
hsi,Griffith Oil Company,B Whitfield Road,Jefferson,Jackson,34.06111111111111,-83.54722222222222,hazardous_inventory
hsi,University of Georgia - Milledge Avenue Site,2450 S Milledge Avenue,Athens,Clarke,33.905833333333334,-83.38527777777779,hazardous_inventory
hsi,Hall County - Allen Creek Sanitary Landfill,2684 Allen Creek Road,Gainesville,Hall,34.25333333333333,-83.77555555555556,hazardous_inventory
hsi,Cheatham Road Landfill (Phase 2 Cobb County),2500 Pitner Road,Acworth,Cobb,34.013888888888886,-84.73666666666666,hazardous_inventory
hsi,Miller Bottom Road Landfill,Miller Bottom Road,Conyers,Rockdale,33.742222222222225,-83.92583333333334,hazardous_inventory
hsi,Speedway SR 324 Landfill,967 Carl Bethlehem Road,Winder,Barrow,33.96888888888889,-83.77333333333333,hazardous_inventory
